"Device: USB-205"
"Serial Number: 22B4008"
"Channel Count: 1"
"Sample Count: 10584"
"Start Time: 2025-08-23 5:52:17.991 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)"
"0","2025-08-23 5:52:17.991 PM","1.463"
"1","2025-08-23 5:52:17.992 PM","1.463"
"2","2025-08-23 5:52:17.993 PM","1.463"
"3","2025-08-23 5:52:17.994 PM","1.463"
"4","2025-08-23 5:52:17.995 PM","1.463"
"5","2025-08-23 5:52:17.996 PM","1.458"
"6","2025-08-23 5:52:17.997 PM","1.458"
"7","2025-08-23 5:52:17.998 PM","1.458"
"8","2025-08-23 5:52:17.999 PM","1.458"
"9","2025-08-23 5:52:18.000 PM","1.458"
"10","2025-08-23 5:52:18.001 PM","1.458"
"11","2025-08-23 5:52:18.002 PM","1.463"
"12","2025-08-23 5:52:18.003 PM","1.463"
"13","2025-08-23 5:52:18.004 PM","1.463"
"14","2025-08-23 5:52:18.005 PM","1.614"
"15","2025-08-23 5:52:18.006 PM","1.614"
"16","2025-08-23 5:52:18.007 PM","1.614"
"17","2025-08-23 5:52:18.008 PM","1.614"
"18","2025-08-23 5:52:18.009 PM","1.614"
"19","2025-08-23 5:52:18.010 PM","1.614"
"20","2025-08-23 5:52:18.011 PM","1.614"
"21","2025-08-23 5:52:18.012 PM","1.609"
"22","2025-08-23 5:52:18.013 PM","1.609"
"23","2025-08-23 5:52:18.014 PM","1.609"
"24","2025-08-23 5:52:18.015 PM","1.614"
"25","2025-08-23 5:52:18.016 PM","1.614"
"26","2025-08-23 5:52:18.017 PM","1.609"
"27","2025-08-23 5:52:18.018 PM","1.609"
"28","2025-08-23 5:52:18.019 PM","1.614"
"29","2025-08-23 5:52:18.020 PM","1.614"
"30","2025-08-23 5:52:18.021 PM","1.658"
"31","2025-08-23 5:52:18.022 PM","1.653"
"32","2025-08-23 5:52:18.023 PM","1.653"
"33","2025-08-23 5:52:18.024 PM","1.658"
"34","2025-08-23 5:52:18.025 PM","1.658"
"35","2025-08-23 5:52:18.026 PM","1.658"
"36","2025-08-23 5:52:18.027 PM","1.653"
"37","2025-08-23 5:52:18.028 PM","1.653"
"38","2025-08-23 5:52:18.029 PM","1.648"
"39","2025-08-23 5:52:18.030 PM","1.648"
"40","2025-08-23 5:52:18.031 PM","1.648"
"41","2025-08-23 5:52:18.032 PM","1.648"
"42","2025-08-23 5:52:18.033 PM","1.643"
"43","2025-08-23 5:52:18.034 PM","1.658"
"44","2025-08-23 5:52:18.035 PM","1.653"
"45","2025-08-23 5:52:18.036 PM","1.658"
"46","2025-08-23 5:52:18.037 PM","1.429"
"47","2025-08-23 5:52:18.038 PM","1.424"
"48","2025-08-23 5:52:18.039 PM","1.429"
"49","2025-08-23 5:52:18.040 PM","1.429"
"50","2025-08-23 5:52:18.041 PM","1.429"
