"Device: USB-205"
"Serial Number: 22B4008"
"Channel Count: 1"
"Sample Count: 11634"
"Start Time: 2025-08-23 1:42:03.935 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)"
"0","2025-08-23 1:42:03.935 PM","1.692"
"1","2025-08-23 1:42:03.936 PM","1.687"
"2","2025-08-23 1:42:03.937 PM","1.687"
"3","2025-08-23 1:42:03.938 PM","1.692"
"4","2025-08-23 1:42:03.939 PM","1.692"
"5","2025-08-23 1:42:03.940 PM","1.687"
"6","2025-08-23 1:42:03.941 PM","1.692"
"7","2025-08-23 1:42:03.942 PM","1.692"
"8","2025-08-23 1:42:03.943 PM","1.692"
"9","2025-08-23 1:42:03.944 PM","1.692"
"10","2025-08-23 1:42:03.945 PM","1.692"
"11","2025-08-23 1:42:03.946 PM","1.692"
"12","2025-08-23 1:42:03.947 PM","1.687"
"13","2025-08-23 1:42:03.948 PM","1.687"
"14","2025-08-23 1:42:03.949 PM","1.687"
"15","2025-08-23 1:42:03.950 PM","1.687"
"16","2025-08-23 1:42:03.951 PM","1.687"
"17","2025-08-23 1:42:03.952 PM","1.687"
"18","2025-08-23 1:42:03.953 PM","1.683"
"19","2025-08-23 1:42:03.954 PM","1.683"
"20","2025-08-23 1:42:03.955 PM","1.692"
"21","2025-08-23 1:42:03.956 PM","1.692"
"22","2025-08-23 1:42:03.957 PM","1.692"
"23","2025-08-23 1:42:03.958 PM","1.673"
"24","2025-08-23 1:42:03.959 PM","1.673"
"25","2025-08-23 1:42:03.960 PM","1.673"
"26","2025-08-23 1:42:03.961 PM","1.673"
"27","2025-08-23 1:42:03.962 PM","1.673"
"28","2025-08-23 1:42:03.963 PM","1.678"
"29","2025-08-23 1:42:03.964 PM","1.673"
"30","2025-08-23 1:42:03.965 PM","1.673"
"31","2025-08-23 1:42:03.966 PM","1.673"
"32","2025-08-23 1:42:03.967 PM","1.673"
"33","2025-08-23 1:42:03.968 PM","1.673"
"34","2025-08-23 1:42:03.969 PM","1.673"
"35","2025-08-23 1:42:03.970 PM","1.668"
"36","2025-08-23 1:42:03.971 PM","1.673"
"37","2025-08-23 1:42:03.972 PM","1.673"
"38","2025-08-23 1:42:03.973 PM","1.673"
"39","2025-08-23 1:42:03.974 PM","1.692"
"40","2025-08-23 1:42:03.975 PM","1.692"
"41","2025-08-23 1:42:03.976 PM","1.692"
"42","2025-08-23 1:42:03.977 PM","1.692"
"43","2025-08-23 1:42:03.978 PM","1.692"
"44","2025-08-23 1:42:03.979 PM","1.692"
"45","2025-08-23 1:42:03.980 PM","1.687"
"46","2025-08-23 1:42:03.981 PM","1.687"
"47","2025-08-23 1:42:03.982 PM","1.687"
"48","2025-08-23 1:42:03.983 PM","1.687"
"49","2025-08-23 1:42:03.984 PM","1.687"
"50","2025-08-23 1:42:03.985 PM","1.683"
"51","2025-08-23 1:42:03.986 PM","1.687"
"52","2025-08-23 1:42:03.987 PM","1.683"
"53","2025-08-23 1:42:03.988 PM","1.687"
"54","2025-08-23 1:42:03.989 PM","1.692"
"55","2025-08-23 1:42:03.990 PM","1.692"
"56","2025-08-23 1:42:03.991 PM","1.673"
"57","2025-08-23 1:42:03.992 PM","1.673"
"58","2025-08-23 1:42:03.993 PM","1.673"
"59","2025-08-23 1:42:03.994 PM","1.678"
"60","2025-08-23 1:42:03.995 PM","1.673"
"61","2025-08-23 1:42:03.996 PM","1.673"
"62","2025-08-23 1:42:03.997 PM","1.673"
"63","2025-08-23 1:42:03.998 PM","1.678"
"64","2025-08-23 1:42:03.999 PM","1.673"
"65","2025-08-23 1:42:04.000 PM","1.673"
"66","2025-08-23 1:42:04.001 PM","1.673"
"67","2025-08-23 1:42:04.002 PM","1.668"
"68","2025-08-23 1:42:04.003 PM","1.668"
"69","2025-08-23 1:42:04.004 PM","1.673"
"70","2025-08-23 1:42:04.005 PM","1.673"
"71","2025-08-23 1:42:04.006 PM","1.673"
"72","2025-08-23 1:42:04.007 PM","1.692"
"73","2025-08-23 1:42:04.008 PM","1.692"
"74","2025-08-23 1:42:04.009 PM","1.692"
"75","2025-08-23 1:42:04.010 PM","1.692"
"76","2025-08-23 1:42:04.011 PM","1.692"
"77","2025-08-23 1:42:04.012 PM","1.692"
"78","2025-08-23 1:42:04.013 PM","1.687"
"79","2025-08-23 1:42:04.014 PM","1.687"
"80","2025-08-23 1:42:04.015 PM","1.687"
"81","2025-08-23 1:42:04.016 PM","1.687"
"82","2025-08-23 1:42:04.017 PM","1.687"
"83","2025-08-23 1:42:04.018 PM","1.687"
"84","2025-08-23 1:42:04.019 PM","1.683"
"85","2025-08-23 1:42:04.020 PM","1.683"
"86","2025-08-23 1:42:04.021 PM","1.687"
"87","2025-08-23 1:42:04.022 PM","1.692"
"88","2025-08-23 1:42:04.023 PM","1.692"
"89","2025-08-23 1:42:04.024 PM","1.692"
"90","2025-08-23 1:42:04.025 PM","1.692"
"91","2025-08-23 1:42:04.026 PM","1.692"
"92","2025-08-23 1:42:04.027 PM","1.692"
"93","2025-08-23 1:42:04.028 PM","1.692"
"94","2025-08-23 1:42:04.029 PM","1.692"
"95","2025-08-23 1:42:04.030 PM","1.692"
"96","2025-08-23 1:42:04.031 PM","1.692"
"97","2025-08-23 1:42:04.032 PM","1.692"
"98","2025-08-23 1:42:04.033 PM","1.687"
"99","2025-08-23 1:42:04.034 PM","1.687"
"100","2025-08-23 1:42:04.035 PM","1.692"
"101","2025-08-23 1:42:04.036 PM","1.687"
"102","2025-08-23 1:42:04.037 PM","1.687"
"103","2025-08-23 1:42:04.038 PM","1.692"
"104","2025-08-23 1:42:04.039 PM","1.692"
"105","2025-08-23 1:42:04.040 PM","1.673"
"106","2025-08-23 1:42:04.041 PM","1.673"
"107","2025-08-23 1:42:04.042 PM","1.673"
"108","2025-08-23 1:42:04.043 PM","1.673"
"109","2025-08-23 1:42:04.044 PM","1.673"
"110","2025-08-23 1:42:04.045 PM","1.673"
"111","2025-08-23 1:42:04.046 PM","1.673"
"112","2025-08-23 1:42:04.047 PM","1.673"
"113","2025-08-23 1:42:04.048 PM","1.668"
"114","2025-08-23 1:42:04.049 PM","1.668"
"115","2025-08-23 1:42:04.050 PM","1.668"
"116","2025-08-23 1:42:04.051 PM","1.663"
"117","2025-08-23 1:42:04.052 PM","1.663"
"118","2025-08-23 1:42:04.053 PM","1.668"
"119","2025-08-23 1:42:04.054 PM","1.673"
"120","2025-08-23 1:42:04.055 PM","1.673"
"121","2025-08-23 1:42:04.056 PM","1.673"
"122","2025-08-23 1:42:04.057 PM","1.692"
"123","2025-08-23 1:42:04.058 PM","1.692"
"124","2025-08-23 1:42:04.059 PM","1.692"
"125","2025-08-23 1:42:04.060 PM","1.692"
"126","2025-08-23 1:42:04.061 PM","1.692"
"127","2025-08-23 1:42:04.062 PM","1.692"
"128","2025-08-23 1:42:04.063 PM","1.692"
"129","2025-08-23 1:42:04.064 PM","1.687"
"130","2025-08-23 1:42:04.065 PM","1.687"
"131","2025-08-23 1:42:04.066 PM","1.687"
"132","2025-08-23 1:42:04.067 PM","1.687"
"133","2025-08-23 1:42:04.068 PM","1.687"
"134","2025-08-23 1:42:04.069 PM","1.687"
"135","2025-08-23 1:42:04.070 PM","1.687"
"136","2025-08-23 1:42:04.071 PM","1.692"
"137","2025-08-23 1:42:04.072 PM","1.692"
"138","2025-08-23 1:42:04.073 PM","1.692"
"139","2025-08-23 1:42:04.074 PM","1.692"
"140","2025-08-23 1:42:04.075 PM","1.692"
"141","2025-08-23 1:42:04.076 PM","1.692"
"142","2025-08-23 1:42:04.077 PM","1.692"
"143","2025-08-23 1:42:04.078 PM","1.692"
"144","2025-08-23 1:42:04.079 PM","1.687"
"145","2025-08-23 1:42:04.080 PM","1.687"
"146","2025-08-23 1:42:04.081 PM","1.687"
"147","2025-08-23 1:42:04.082 PM","1.687"
"148","2025-08-23 1:42:04.083 PM","1.683"
"149","2025-08-23 1:42:04.084 PM","1.683"
"150","2025-08-23 1:42:04.085 PM","1.687"
"151","2025-08-23 1:42:04.086 PM","1.683"
"152","2025-08-23 1:42:04.087 PM","1.687"
"153","2025-08-23 1:42:04.088 PM","1.687"
"154","2025-08-23 1:42:04.089 PM","1.692"
"155","2025-08-23 1:42:04.090 PM","1.673"
"156","2025-08-23 1:42:04.091 PM","1.673"
"157","2025-08-23 1:42:04.092 PM","1.678"
"158","2025-08-23 1:42:04.093 PM","1.673"
"159","2025-08-23 1:42:04.094 PM","1.673"
"160","2025-08-23 1:42:04.095 PM","1.678"
"161","2025-08-23 1:42:04.096 PM","1.673"
"162","2025-08-23 1:42:04.097 PM","1.673"
"163","2025-08-23 1:42:04.098 PM","1.673"
"164","2025-08-23 1:42:04.099 PM","1.673"
"165","2025-08-23 1:42:04.100 PM","1.673"
"166","2025-08-23 1:42:04.101 PM","1.673"
"167","2025-08-23 1:42:04.102 PM","1.673"
"168","2025-08-23 1:42:04.103 PM","1.673"
"169","2025-08-23 1:42:04.104 PM","1.673"
"170","2025-08-23 1:42:04.105 PM","1.673"
"171","2025-08-23 1:42:04.106 PM","1.687"
"172","2025-08-23 1:42:04.107 PM","1.692"
"173","2025-08-23 1:42:04.108 PM","1.692"
"174","2025-08-23 1:42:04.109 PM","1.692"
"175","2025-08-23 1:42:04.110 PM","1.692"
"176","2025-08-23 1:42:04.111 PM","1.692"
"177","2025-08-23 1:42:04.112 PM","1.687"
"178","2025-08-23 1:42:04.113 PM","1.687"
"179","2025-08-23 1:42:04.114 PM","1.687"
"180","2025-08-23 1:42:04.115 PM","1.687"
"181","2025-08-23 1:42:04.116 PM","1.683"
"182","2025-08-23 1:42:04.117 PM","1.687"
"183","2025-08-23 1:42:04.118 PM","1.683"
"184","2025-08-23 1:42:04.119 PM","1.692"
"185","2025-08-23 1:42:04.120 PM","1.692"
"186","2025-08-23 1:42:04.121 PM","1.692"
"187","2025-08-23 1:42:04.122 PM","1.692"
"188","2025-08-23 1:42:04.123 PM","1.692"
"189","2025-08-23 1:42:04.124 PM","1.692"
"190","2025-08-23 1:42:04.125 PM","1.692"
"191","2025-08-23 1:42:04.126 PM","1.692"
"192","2025-08-23 1:42:04.127 PM","1.692"
"193","2025-08-23 1:42:04.128 PM","1.692"
"194","2025-08-23 1:42:04.129 PM","1.692"
"195","2025-08-23 1:42:04.130 PM","1.687"
"196","2025-08-23 1:42:04.131 PM","1.692"
"197","2025-08-23 1:42:04.132 PM","1.687"
"198","2025-08-23 1:42:04.133 PM","1.687"
"199","2025-08-23 1:42:04.134 PM","1.692"
"200","2025-08-23 1:42:04.135 PM","1.687"
"201","2025-08-23 1:42:04.136 PM","1.687"
"202","2025-08-23 1:42:04.137 PM","1.687"
"203","2025-08-23 1:42:04.138 PM","1.692"
"204","2025-08-23 1:42:04.139 PM","1.673"
"205","2025-08-23 1:42:04.140 PM","1.673"
"206","2025-08-23 1:42:04.141 PM","1.673"
"207","2025-08-23 1:42:04.142 PM","1.673"
"208","2025-08-23 1:42:04.143 PM","1.673"
"209","2025-08-23 1:42:04.144 PM","1.678"
"210","2025-08-23 1:42:04.145 PM","1.673"
"211","2025-08-23 1:42:04.146 PM","1.668"
"212","2025-08-23 1:42:04.147 PM","1.668"
"213","2025-08-23 1:42:04.148 PM","1.668"
"214","2025-08-23 1:42:04.149 PM","1.668"
"215","2025-08-23 1:42:04.150 PM","1.663"
"216","2025-08-23 1:42:04.151 PM","1.668"
"217","2025-08-23 1:42:04.152 PM","1.678"
"218","2025-08-23 1:42:04.153 PM","1.673"
"219","2025-08-23 1:42:04.154 PM","1.673"
"220","2025-08-23 1:42:04.155 PM","1.673"
"221","2025-08-23 1:42:04.156 PM","1.692"
"222","2025-08-23 1:42:04.157 PM","1.692"
"223","2025-08-23 1:42:04.158 PM","1.692"
"224","2025-08-23 1:42:04.159 PM","1.687"
"225","2025-08-23 1:42:04.160 PM","1.692"
"226","2025-08-23 1:42:04.161 PM","1.692"
"227","2025-08-23 1:42:04.162 PM","1.692"
"228","2025-08-23 1:42:04.163 PM","1.692"
"229","2025-08-23 1:42:04.164 PM","1.687"
"230","2025-08-23 1:42:04.165 PM","1.687"
"231","2025-08-23 1:42:04.166 PM","1.687"
"232","2025-08-23 1:42:04.167 PM","1.692"
"233","2025-08-23 1:42:04.168 PM","1.687"
"234","2025-08-23 1:42:04.169 PM","1.687"
"235","2025-08-23 1:42:04.170 PM","1.692"
"236","2025-08-23 1:42:04.171 PM","1.687"
"237","2025-08-23 1:42:04.172 PM","1.692"
"238","2025-08-23 1:42:04.173 PM","1.692"
"239","2025-08-23 1:42:04.174 PM","1.692"
"240","2025-08-23 1:42:04.175 PM","1.692"
"241","2025-08-23 1:42:04.176 PM","1.692"
"242","2025-08-23 1:42:04.177 PM","1.692"
"243","2025-08-23 1:42:04.178 PM","1.687"
"244","2025-08-23 1:42:04.179 PM","1.683"
"245","2025-08-23 1:42:04.180 PM","1.687"
"246","2025-08-23 1:42:04.181 PM","1.683"
"247","2025-08-23 1:42:04.182 PM","1.683"
"248","2025-08-23 1:42:04.183 PM","1.683"
"249","2025-08-23 1:42:04.184 PM","1.697"
"250","2025-08-23 1:42:04.185 PM","1.697"
"251","2025-08-23 1:42:04.186 PM","1.687"
"252","2025-08-23 1:42:04.187 PM","1.692"
"253","2025-08-23 1:42:04.188 PM","1.692"
"254","2025-08-23 1:42:04.189 PM","1.673"
"255","2025-08-23 1:42:04.190 PM","1.673"
"256","2025-08-23 1:42:04.191 PM","1.678"
"257","2025-08-23 1:42:04.192 PM","1.673"
"258","2025-08-23 1:42:04.193 PM","1.673"
"259","2025-08-23 1:42:04.194 PM","1.673"
"260","2025-08-23 1:42:04.195 PM","1.673"
"261","2025-08-23 1:42:04.196 PM","1.673"
"262","2025-08-23 1:42:04.197 PM","1.673"
"263","2025-08-23 1:42:04.198 PM","1.668"
"264","2025-08-23 1:42:04.199 PM","1.673"
"265","2025-08-23 1:42:04.200 PM","1.673"
"266","2025-08-23 1:42:04.201 PM","1.673"
"267","2025-08-23 1:42:04.202 PM","1.673"
"268","2025-08-23 1:42:04.203 PM","1.673"
"269","2025-08-23 1:42:04.204 PM","1.673"
"270","2025-08-23 1:42:04.205 PM","1.692"
"271","2025-08-23 1:42:04.206 PM","1.692"
"272","2025-08-23 1:42:04.207 PM","1.692"
"273","2025-08-23 1:42:04.208 PM","1.692"
"274","2025-08-23 1:42:04.209 PM","1.692"
"275","2025-08-23 1:42:04.210 PM","1.692"
"276","2025-08-23 1:42:04.211 PM","1.687"
"277","2025-08-23 1:42:04.212 PM","1.687"
"278","2025-08-23 1:42:04.213 PM","1.683"
"279","2025-08-23 1:42:04.214 PM","1.687"
"280","2025-08-23 1:42:04.215 PM","1.683"
"281","2025-08-23 1:42:04.216 PM","1.697"
"282","2025-08-23 1:42:04.217 PM","1.697"
"283","2025-08-23 1:42:04.218 PM","1.697"
"284","2025-08-23 1:42:04.219 PM","1.687"
"285","2025-08-23 1:42:04.220 PM","1.692"
"286","2025-08-23 1:42:04.221 PM","1.692"
"287","2025-08-23 1:42:04.222 PM","1.692"
"288","2025-08-23 1:42:04.223 PM","1.692"
"289","2025-08-23 1:42:04.224 PM","1.692"
"290","2025-08-23 1:42:04.225 PM","1.692"
"291","2025-08-23 1:42:04.226 PM","1.692"
"292","2025-08-23 1:42:04.227 PM","1.692"
"293","2025-08-23 1:42:04.228 PM","1.692"
"294","2025-08-23 1:42:04.229 PM","1.687"
"295","2025-08-23 1:42:04.230 PM","1.687"
"296","2025-08-23 1:42:04.231 PM","1.692"
"297","2025-08-23 1:42:04.232 PM","1.692"
"298","2025-08-23 1:42:04.233 PM","1.692"
"299","2025-08-23 1:42:04.234 PM","1.687"
"300","2025-08-23 1:42:04.235 PM","1.687"
"301","2025-08-23 1:42:04.236 PM","1.692"
"302","2025-08-23 1:42:04.237 PM","1.692"
"303","2025-08-23 1:42:04.238 PM","1.673"
"304","2025-08-23 1:42:04.239 PM","1.673"
"305","2025-08-23 1:42:04.240 PM","1.673"
"306","2025-08-23 1:42:04.241 PM","1.673"
"307","2025-08-23 1:42:04.242 PM","1.673"
"308","2025-08-23 1:42:04.243 PM","1.673"
"309","2025-08-23 1:42:04.244 PM","1.668"
"310","2025-08-23 1:42:04.245 PM","1.668"
"311","2025-08-23 1:42:04.246 PM","1.668"
"312","2025-08-23 1:42:04.247 PM","1.663"
"313","2025-08-23 1:42:04.248 PM","1.663"
"314","2025-08-23 1:42:04.249 PM","1.678"
"315","2025-08-23 1:42:04.250 PM","1.678"
"316","2025-08-23 1:42:04.251 PM","1.683"
"317","2025-08-23 1:42:04.252 PM","1.668"
"318","2025-08-23 1:42:04.253 PM","1.673"
"319","2025-08-23 1:42:04.254 PM","1.673"
"320","2025-08-23 1:42:04.255 PM","1.692"
"321","2025-08-23 1:42:04.256 PM","1.692"
"322","2025-08-23 1:42:04.257 PM","1.692"
"323","2025-08-23 1:42:04.258 PM","1.692"
"324","2025-08-23 1:42:04.259 PM","1.692"
"325","2025-08-23 1:42:04.260 PM","1.692"
"326","2025-08-23 1:42:04.261 PM","1.687"
"327","2025-08-23 1:42:04.262 PM","1.692"
"328","2025-08-23 1:42:04.263 PM","1.692"
"329","2025-08-23 1:42:04.264 PM","1.687"
"330","2025-08-23 1:42:04.265 PM","1.687"
"331","2025-08-23 1:42:04.266 PM","1.687"
"332","2025-08-23 1:42:04.267 PM","1.687"
"333","2025-08-23 1:42:04.268 PM","1.687"
"334","2025-08-23 1:42:04.269 PM","1.692"
"335","2025-08-23 1:42:04.270 PM","1.692"
"336","2025-08-23 1:42:04.271 PM","1.692"
"337","2025-08-23 1:42:04.272 PM","1.692"
"338","2025-08-23 1:42:04.273 PM","1.692"
"339","2025-08-23 1:42:04.274 PM","1.692"
"340","2025-08-23 1:42:04.275 PM","1.692"
"341","2025-08-23 1:42:04.276 PM","1.692"
"342","2025-08-23 1:42:04.277 PM","1.687"
"343","2025-08-23 1:42:04.278 PM","1.687"
"344","2025-08-23 1:42:04.279 PM","1.683"
"345","2025-08-23 1:42:04.280 PM","1.683"
"346","2025-08-23 1:42:04.281 PM","1.697"
"347","2025-08-23 1:42:04.282 PM","1.697"
"348","2025-08-23 1:42:04.283 PM","1.697"
"349","2025-08-23 1:42:04.284 PM","1.702"
"350","2025-08-23 1:42:04.285 PM","1.692"
"351","2025-08-23 1:42:04.286 PM","1.692"
"352","2025-08-23 1:42:04.287 PM","1.687"
"353","2025-08-23 1:42:04.288 PM","1.673"
"354","2025-08-23 1:42:04.289 PM","1.678"
"355","2025-08-23 1:42:04.290 PM","1.673"
"356","2025-08-23 1:42:04.291 PM","1.673"
"357","2025-08-23 1:42:04.292 PM","1.673"
"358","2025-08-23 1:42:04.293 PM","1.673"
"359","2025-08-23 1:42:04.294 PM","1.673"
"360","2025-08-23 1:42:04.295 PM","1.673"
"361","2025-08-23 1:42:04.296 PM","1.673"
"362","2025-08-23 1:42:04.297 PM","1.673"
"363","2025-08-23 1:42:04.298 PM","1.673"
"364","2025-08-23 1:42:04.299 PM","1.673"
"365","2025-08-23 1:42:04.300 PM","1.668"
"366","2025-08-23 1:42:04.301 PM","1.668"
"367","2025-08-23 1:42:04.302 PM","1.678"
"368","2025-08-23 1:42:04.303 PM","1.673"
"369","2025-08-23 1:42:04.304 PM","1.692"
"370","2025-08-23 1:42:04.305 PM","1.692"
"371","2025-08-23 1:42:04.306 PM","1.692"
"372","2025-08-23 1:42:04.307 PM","1.692"
"373","2025-08-23 1:42:04.308 PM","1.692"
"374","2025-08-23 1:42:04.309 PM","1.692"
"375","2025-08-23 1:42:04.310 PM","1.683"
"376","2025-08-23 1:42:04.311 PM","1.683"
"377","2025-08-23 1:42:04.312 PM","1.683"
"378","2025-08-23 1:42:04.313 PM","1.697"
"379","2025-08-23 1:42:04.314 PM","1.697"
"380","2025-08-23 1:42:04.315 PM","1.702"
"381","2025-08-23 1:42:04.316 PM","1.702"
"382","2025-08-23 1:42:04.317 PM","1.726"
"383","2025-08-23 1:42:04.318 PM","1.687"
"384","2025-08-23 1:42:04.319 PM","1.692"
"385","2025-08-23 1:42:04.320 PM","1.692"
"386","2025-08-23 1:42:04.321 PM","1.692"
"387","2025-08-23 1:42:04.322 PM","1.692"
