"Device: USB-205"
"Serial Number: 22B4008"
"Channel Count: 1"
"Sample Count: 10374"
"Start Time: 2025-08-24 11:53:56.103 AM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)"
"0","2025-08-24 11:53:56.103 AM","1.385"
"1","2025-08-24 11:53:56.104 AM","1.380"
"2","2025-08-24 11:53:56.105 AM","1.380"
"3","2025-08-24 11:53:56.106 AM","1.380"
"4","2025-08-24 11:53:56.107 AM","1.380"
"5","2025-08-24 11:53:56.108 AM","1.385"
"6","2025-08-24 11:53:56.109 AM","1.385"
"7","2025-08-24 11:53:56.110 AM","1.614"
"8","2025-08-24 11:53:56.111 AM","1.614"
"9","2025-08-24 11:53:56.112 AM","1.614"
"10","2025-08-24 11:53:56.113 AM","1.614"
"11","2025-08-24 11:53:56.114 AM","1.614"
"12","2025-08-24 11:53:56.115 AM","1.614"
"13","2025-08-24 11:53:56.116 AM","1.614"
"14","2025-08-24 11:53:56.117 AM","1.614"
"15","2025-08-24 11:53:56.118 AM","1.609"
"16","2025-08-24 11:53:56.119 AM","1.614"
"17","2025-08-24 11:53:56.120 AM","1.609"
"18","2025-08-24 11:53:56.121 AM","1.614"
"19","2025-08-24 11:53:56.122 AM","1.609"
"20","2025-08-24 11:53:56.123 AM","1.609"
"21","2025-08-24 11:53:56.124 AM","1.609"
"22","2025-08-24 11:53:56.125 AM","1.614"
"23","2025-08-24 11:53:56.126 AM","1.614"
"24","2025-08-24 11:53:56.127 AM","1.502"
"25","2025-08-24 11:53:56.128 AM","1.497"
"26","2025-08-24 11:53:56.129 AM","1.497"
"27","2025-08-24 11:53:56.130 AM","1.502"
"28","2025-08-24 11:53:56.131 AM","1.502"
"29","2025-08-24 11:53:56.132 AM","1.497"
"30","2025-08-24 11:53:56.133 AM","1.497"
"31","2025-08-24 11:53:56.134 AM","1.497"
"32","2025-08-24 11:53:56.135 AM","1.497"
"33","2025-08-24 11:53:56.136 AM","1.497"
"34","2025-08-24 11:53:56.137 AM","1.492"
"35","2025-08-24 11:53:56.138 AM","1.492"
"36","2025-08-24 11:53:56.139 AM","1.492"
"37","2025-08-24 11:53:56.140 AM","1.492"
"38","2025-08-24 11:53:56.141 AM","1.497"
"39","2025-08-24 11:53:56.142 AM","1.502"
"40","2025-08-24 11:53:56.143 AM","1.287"
"41","2025-08-24 11:53:56.144 AM","1.287"
"42","2025-08-24 11:53:56.145 AM","1.287"
"43","2025-08-24 11:53:56.146 AM","1.287"
"44","2025-08-24 11:53:56.147 AM","1.292"
"45","2025-08-24 11:53:56.148 AM","1.287"
"46","2025-08-24 11:53:56.149 AM","1.287"
"47","2025-08-24 11:53:56.150 AM","1.287"
"48","2025-08-24 11:53:56.151 AM","1.287"
"49","2025-08-24 11:53:56.152 AM","1.287"
"50","2025-08-24 11:53:56.153 AM","1.287"
"51","2025-08-24 11:53:56.154 AM","1.287"
"52","2025-08-24 11:53:56.155 AM","1.287"
"53","2025-08-24 11:53:56.156 AM","1.282"
"54","2025-08-24 11:53:56.157 AM","1.287"
"55","2025-08-24 11:53:56.158 AM","1.287"
"56","2025-08-24 11:53:56.159 AM","1.287"
"57","2025-08-24 11:53:56.160 AM","1.443"
"58","2025-08-24 11:53:56.161 AM","1.443"
"59","2025-08-24 11:53:56.162 AM","1.443"
"60","2025-08-24 11:53:56.163 AM","1.443"
"61","2025-08-24 11:53:56.164 AM","1.443"
"62","2025-08-24 11:53:56.165 AM","1.443"
"63","2025-08-24 11:53:56.166 AM","1.443"
"64","2025-08-24 11:53:56.167 AM","1.443"
"65","2025-08-24 11:53:56.168 AM","1.443"
"66","2025-08-24 11:53:56.169 AM","1.443"
"67","2025-08-24 11:53:56.170 AM","1.438"
"68","2025-08-24 11:53:56.171 AM","1.438"
"69","2025-08-24 11:53:56.172 AM","1.438"
"70","2025-08-24 11:53:56.173 AM","1.438"
"71","2025-08-24 11:53:56.174 AM","1.443"
"72","2025-08-24 11:53:56.175 AM","1.443"
"73","2025-08-24 11:53:56.176 AM","1.614"
"74","2025-08-24 11:53:56.177 AM","1.614"
"75","2025-08-24 11:53:56.178 AM","1.609"
"76","2025-08-24 11:53:56.179 AM","1.614"
"77","2025-08-24 11:53:56.180 AM","1.614"
"78","2025-08-24 11:53:56.181 AM","1.614"
"79","2025-08-24 11:53:56.182 AM","1.614"
"80","2025-08-24 11:53:56.183 AM","1.614"
"81","2025-08-24 11:53:56.184 AM","1.609"
"82","2025-08-24 11:53:56.185 AM","1.609"
"83","2025-08-24 11:53:56.186 AM","1.609"
"84","2025-08-24 11:53:56.187 AM","1.609"
"85","2025-08-24 11:53:56.188 AM","1.614"
"86","2025-08-24 11:53:56.189 AM","1.609"
"87","2025-08-24 11:53:56.190 AM","1.609"
"88","2025-08-24 11:53:56.191 AM","1.609"
"89","2025-08-24 11:53:56.192 AM","1.614"
"90","2025-08-24 11:53:56.193 AM","1.443"
"91","2025-08-24 11:53:56.194 AM","1.448"
"92","2025-08-24 11:53:56.195 AM","1.443"
"93","2025-08-24 11:53:56.196 AM","1.443"
"94","2025-08-24 11:53:56.197 AM","1.448"
"95","2025-08-24 11:53:56.198 AM","1.443"
"96","2025-08-24 11:53:56.199 AM","1.443"
"97","2025-08-24 11:53:56.200 AM","1.443"
"98","2025-08-24 11:53:56.201 AM","1.443"
"99","2025-08-24 11:53:56.202 AM","1.438"
"100","2025-08-24 11:53:56.203 AM","1.438"
"101","2025-08-24 11:53:56.204 AM","1.438"
"102","2025-08-24 11:53:56.205 AM","1.438"
"103","2025-08-24 11:53:56.206 AM","1.438"
"104","2025-08-24 11:53:56.207 AM","1.443"
"105","2025-08-24 11:53:56.208 AM","1.448"
"106","2025-08-24 11:53:56.209 AM","1.306"
"107","2025-08-24 11:53:56.210 AM","1.306"
"108","2025-08-24 11:53:56.211 AM","1.306"
"109","2025-08-24 11:53:56.212 AM","1.306"
"110","2025-08-24 11:53:56.213 AM","1.306"
"111","2025-08-24 11:53:56.214 AM","1.306"
"112","2025-08-24 11:53:56.215 AM","1.306"
"113","2025-08-24 11:53:56.216 AM","1.306"
"114","2025-08-24 11:53:56.217 AM","1.306"
"115","2025-08-24 11:53:56.218 AM","1.302"
"116","2025-08-24 11:53:56.219 AM","1.306"
"117","2025-08-24 11:53:56.220 AM","1.302"
"118","2025-08-24 11:53:56.221 AM","1.306"
"119","2025-08-24 11:53:56.222 AM","1.302"
"120","2025-08-24 11:53:56.223 AM","1.302"
"121","2025-08-24 11:53:56.224 AM","1.306"
"122","2025-08-24 11:53:56.225 AM","1.302"
"123","2025-08-24 11:53:56.226 AM","1.521"
"124","2025-08-24 11:53:56.227 AM","1.521"
"125","2025-08-24 11:53:56.228 AM","1.521"
"126","2025-08-24 11:53:56.229 AM","1.521"
"127","2025-08-24 11:53:56.230 AM","1.521"
"128","2025-08-24 11:53:56.231 AM","1.521"
"129","2025-08-24 11:53:56.232 AM","1.512"
"130","2025-08-24 11:53:56.233 AM","1.512"
"131","2025-08-24 11:53:56.234 AM","1.521"
"132","2025-08-24 11:53:56.235 AM","1.512"
"133","2025-08-24 11:53:56.236 AM","1.512"
"134","2025-08-24 11:53:56.237 AM","1.512"
"135","2025-08-24 11:53:56.238 AM","1.507"
"136","2025-08-24 11:53:56.239 AM","1.512"
"137","2025-08-24 11:53:56.240 AM","1.521"
"138","2025-08-24 11:53:56.241 AM","1.521"
"139","2025-08-24 11:53:56.242 AM","1.595"
"140","2025-08-24 11:53:56.243 AM","1.595"
"141","2025-08-24 11:53:56.244 AM","1.595"
"142","2025-08-24 11:53:56.245 AM","1.595"
"143","2025-08-24 11:53:56.246 AM","1.595"
"144","2025-08-24 11:53:56.247 AM","1.595"
"145","2025-08-24 11:53:56.248 AM","1.595"
"146","2025-08-24 11:53:56.249 AM","1.595"
"147","2025-08-24 11:53:56.250 AM","1.595"
"148","2025-08-24 11:53:56.251 AM","1.590"
"149","2025-08-24 11:53:56.252 AM","1.595"
"150","2025-08-24 11:53:56.253 AM","1.595"
"151","2025-08-24 11:53:56.254 AM","1.595"
"152","2025-08-24 11:53:56.255 AM","1.590"
"153","2025-08-24 11:53:56.256 AM","1.595"
"154","2025-08-24 11:53:56.257 AM","1.595"
"155","2025-08-24 11:53:56.258 AM","1.595"
"156","2025-08-24 11:53:56.259 AM","1.385"
"157","2025-08-24 11:53:56.260 AM","1.385"
"158","2025-08-24 11:53:56.261 AM","1.389"
"159","2025-08-24 11:53:56.262 AM","1.385"
"160","2025-08-24 11:53:56.263 AM","1.385"
"161","2025-08-24 11:53:56.264 AM","1.385"
"162","2025-08-24 11:53:56.265 AM","1.380"
"163","2025-08-24 11:53:56.266 AM","1.385"
"164","2025-08-24 11:53:56.267 AM","1.380"
"165","2025-08-24 11:53:56.268 AM","1.380"
"166","2025-08-24 11:53:56.269 AM","1.380"
"167","2025-08-24 11:53:56.270 AM","1.380"
"168","2025-08-24 11:53:56.271 AM","1.380"
"169","2025-08-24 11:53:56.272 AM","1.375"
"170","2025-08-24 11:53:56.273 AM","1.385"
"171","2025-08-24 11:53:56.274 AM","1.385"
"172","2025-08-24 11:53:56.275 AM","1.331"
"173","2025-08-24 11:53:56.276 AM","1.326"
"174","2025-08-24 11:53:56.277 AM","1.326"
"175","2025-08-24 11:53:56.278 AM","1.326"
"176","2025-08-24 11:53:56.279 AM","1.331"
"177","2025-08-24 11:53:56.280 AM","1.331"
"178","2025-08-24 11:53:56.281 AM","1.326"
"179","2025-08-24 11:53:56.282 AM","1.326"
"180","2025-08-24 11:53:56.283 AM","1.326"
"181","2025-08-24 11:53:56.284 AM","1.326"
"182","2025-08-24 11:53:56.285 AM","1.326"
"183","2025-08-24 11:53:56.286 AM","1.326"
"184","2025-08-24 11:53:56.287 AM","1.326"
"185","2025-08-24 11:53:56.288 AM","1.326"
"186","2025-08-24 11:53:56.289 AM","1.326"
"187","2025-08-24 11:53:56.290 AM","1.326"
"188","2025-08-24 11:53:56.291 AM","1.326"
"189","2025-08-24 11:53:56.292 AM","1.575"
"190","2025-08-24 11:53:56.293 AM","1.575"
"191","2025-08-24 11:53:56.294 AM","1.575"
"192","2025-08-24 11:53:56.295 AM","1.575"
"193","2025-08-24 11:53:56.296 AM","1.575"
"194","2025-08-24 11:53:56.297 AM","1.575"
"195","2025-08-24 11:53:56.298 AM","1.575"
"196","2025-08-24 11:53:56.299 AM","1.570"
"197","2025-08-24 11:53:56.300 AM","1.570"
"198","2025-08-24 11:53:56.301 AM","1.570"
"199","2025-08-24 11:53:56.302 AM","1.570"
"200","2025-08-24 11:53:56.303 AM","1.570"
"201","2025-08-24 11:53:56.304 AM","1.570"
"202","2025-08-24 11:53:56.305 AM","1.575"
"203","2025-08-24 11:53:56.306 AM","1.575"
"204","2025-08-24 11:53:56.307 AM","1.575"
"205","2025-08-24 11:53:56.308 AM","1.575"
"206","2025-08-24 11:53:56.309 AM","1.575"
"207","2025-08-24 11:53:56.310 AM","1.580"
"208","2025-08-24 11:53:56.311 AM","1.575"
"209","2025-08-24 11:53:56.312 AM","1.575"
"210","2025-08-24 11:53:56.313 AM","1.580"
"211","2025-08-24 11:53:56.314 AM","1.575"
"212","2025-08-24 11:53:56.315 AM","1.575"
"213","2025-08-24 11:53:56.316 AM","1.575"
"214","2025-08-24 11:53:56.317 AM","1.575"
"215","2025-08-24 11:53:56.318 AM","1.575"
"216","2025-08-24 11:53:56.319 AM","1.575"
"217","2025-08-24 11:53:56.320 AM","1.575"
"218","2025-08-24 11:53:56.321 AM","1.575"
"219","2025-08-24 11:53:56.322 AM","1.575"
"220","2025-08-24 11:53:56.323 AM","1.575"
"221","2025-08-24 11:53:56.324 AM","1.575"
"222","2025-08-24 11:53:56.325 AM","1.326"
"223","2025-08-24 11:53:56.326 AM","1.326"
"224","2025-08-24 11:53:56.327 AM","1.331"
"225","2025-08-24 11:53:56.328 AM","1.331"
"226","2025-08-24 11:53:56.329 AM","1.326"
"227","2025-08-24 11:53:56.330 AM","1.331"
"228","2025-08-24 11:53:56.331 AM","1.326"
"229","2025-08-24 11:53:56.332 AM","1.321"
"230","2025-08-24 11:53:56.333 AM","1.321"
"231","2025-08-24 11:53:56.334 AM","1.321"
"232","2025-08-24 11:53:56.335 AM","1.321"
"233","2025-08-24 11:53:56.336 AM","1.321"
"234","2025-08-24 11:53:56.337 AM","1.331"
"235","2025-08-24 11:53:56.338 AM","1.331"
"236","2025-08-24 11:53:56.339 AM","1.326"
"237","2025-08-24 11:53:56.340 AM","1.326"
"238","2025-08-24 11:53:56.341 AM","1.370"
"239","2025-08-24 11:53:56.342 AM","1.370"
"240","2025-08-24 11:53:56.343 AM","1.370"
"241","2025-08-24 11:53:56.344 AM","1.365"
"242","2025-08-24 11:53:56.345 AM","1.370"
"243","2025-08-24 11:53:56.346 AM","1.370"
"244","2025-08-24 11:53:56.347 AM","1.365"
"245","2025-08-24 11:53:56.348 AM","1.365"
"246","2025-08-24 11:53:56.349 AM","1.365"
"247","2025-08-24 11:53:56.350 AM","1.365"
"248","2025-08-24 11:53:56.351 AM","1.365"
"249","2025-08-24 11:53:56.352 AM","1.365"
"250","2025-08-24 11:53:56.353 AM","1.365"
"251","2025-08-24 11:53:56.354 AM","1.365"
"252","2025-08-24 11:53:56.355 AM","1.365"
