"Device: USB-205"
"Serial Number: 22B4008"
"Channel Count: 1"
"Sample Count: 10500"
"Start Time: 2025-08-23 3:39:09.155 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)"
"0","2025-08-23 3:39:09.155 PM","1.990"
"1","2025-08-23 3:39:09.156 PM","1.990"
"2","2025-08-23 3:39:09.157 PM","1.990"
"3","2025-08-23 3:39:09.158 PM","1.985"
"4","2025-08-23 3:39:09.159 PM","1.990"
"5","2025-08-23 3:39:09.160 PM","1.985"
"6","2025-08-23 3:39:09.161 PM","1.985"
"7","2025-08-23 3:39:09.162 PM","1.990"
"8","2025-08-23 3:39:09.163 PM","1.990"
"9","2025-08-23 3:39:09.164 PM","1.990"
"10","2025-08-23 3:39:09.165 PM","1.990"
"11","2025-08-23 3:39:09.166 PM","1.653"
"12","2025-08-23 3:39:09.167 PM","1.653"
"13","2025-08-23 3:39:09.168 PM","1.653"
"14","2025-08-23 3:39:09.169 PM","1.653"
"15","2025-08-23 3:39:09.170 PM","1.658"
"16","2025-08-23 3:39:09.171 PM","1.653"
"17","2025-08-23 3:39:09.172 PM","1.643"
"18","2025-08-23 3:39:09.173 PM","1.658"
"19","2025-08-23 3:39:09.174 PM","1.653"
"20","2025-08-23 3:39:09.175 PM","1.658"
"21","2025-08-23 3:39:09.176 PM","1.663"
"22","2025-08-23 3:39:09.177 PM","1.683"
"23","2025-08-23 3:39:09.178 PM","1.653"
"24","2025-08-23 3:39:09.179 PM","1.653"
"25","2025-08-23 3:39:09.180 PM","1.653"
"26","2025-08-23 3:39:09.181 PM","1.653"
"27","2025-08-23 3:39:09.182 PM","1.658"
"28","2025-08-23 3:39:09.183 PM","1.751"
"29","2025-08-23 3:39:09.184 PM","1.751"
"30","2025-08-23 3:39:09.185 PM","1.751"
"31","2025-08-23 3:39:09.186 PM","1.746"
"32","2025-08-23 3:39:09.187 PM","1.751"
"33","2025-08-23 3:39:09.188 PM","1.751"
"34","2025-08-23 3:39:09.189 PM","1.751"
"35","2025-08-23 3:39:09.190 PM","1.746"
"36","2025-08-23 3:39:09.191 PM","1.751"
"37","2025-08-23 3:39:09.192 PM","1.746"
"38","2025-08-23 3:39:09.193 PM","1.746"
"39","2025-08-23 3:39:09.194 PM","1.746"
"40","2025-08-23 3:39:09.195 PM","1.746"
"41","2025-08-23 3:39:09.196 PM","1.746"
"42","2025-08-23 3:39:09.197 PM","1.751"
"43","2025-08-23 3:39:09.198 PM","1.746"
"44","2025-08-23 3:39:09.199 PM","1.751"
"45","2025-08-23 3:39:09.200 PM","2.010"
"46","2025-08-23 3:39:09.201 PM","2.005"
"47","2025-08-23 3:39:09.202 PM","2.010"
"48","2025-08-23 3:39:09.203 PM","2.010"
"49","2025-08-23 3:39:09.204 PM","2.010"
"50","2025-08-23 3:39:09.205 PM","2.000"
"51","2025-08-23 3:39:09.206 PM","2.010"
"52","2025-08-23 3:39:09.207 PM","2.015"
"53","2025-08-23 3:39:09.208 PM","2.015"
"54","2025-08-23 3:39:09.209 PM","2.015"
"55","2025-08-23 3:39:09.210 PM","2.005"
"56","2025-08-23 3:39:09.211 PM","2.005"
"57","2025-08-23 3:39:09.212 PM","2.005"
"58","2025-08-23 3:39:09.213 PM","2.010"
"59","2025-08-23 3:39:09.214 PM","2.010"
"60","2025-08-23 3:39:09.215 PM","2.010"
"61","2025-08-23 3:39:09.216 PM","1.653"
"62","2025-08-23 3:39:09.217 PM","1.658"
"63","2025-08-23 3:39:09.218 PM","1.658"
"64","2025-08-23 3:39:09.219 PM","1.653"
"65","2025-08-23 3:39:09.220 PM","1.653"
"66","2025-08-23 3:39:09.221 PM","1.653"
"67","2025-08-23 3:39:09.222 PM","1.653"
"68","2025-08-23 3:39:09.223 PM","1.653"
"69","2025-08-23 3:39:09.224 PM","1.653"
"70","2025-08-23 3:39:09.225 PM","1.653"
"71","2025-08-23 3:39:09.226 PM","1.653"
"72","2025-08-23 3:39:09.227 PM","1.653"
"73","2025-08-23 3:39:09.228 PM","1.648"
"74","2025-08-23 3:39:09.229 PM","1.648"
"75","2025-08-23 3:39:09.230 PM","1.653"
"76","2025-08-23 3:39:09.231 PM","1.653"
"77","2025-08-23 3:39:09.232 PM","1.751"
"78","2025-08-23 3:39:09.233 PM","1.751"
"79","2025-08-23 3:39:09.234 PM","1.746"
"80","2025-08-23 3:39:09.235 PM","1.751"
"81","2025-08-23 3:39:09.236 PM","1.751"
"82","2025-08-23 3:39:09.237 PM","1.751"
"83","2025-08-23 3:39:09.238 PM","1.751"
"84","2025-08-23 3:39:09.239 PM","1.751"
"85","2025-08-23 3:39:09.240 PM","1.756"
"86","2025-08-23 3:39:09.241 PM","1.756"
"87","2025-08-23 3:39:09.242 PM","1.746"
"88","2025-08-23 3:39:09.243 PM","1.751"
"89","2025-08-23 3:39:09.244 PM","1.751"
"90","2025-08-23 3:39:09.245 PM","1.746"
"91","2025-08-23 3:39:09.246 PM","1.751"
"92","2025-08-23 3:39:09.247 PM","1.746"
"93","2025-08-23 3:39:09.248 PM","1.751"
"94","2025-08-23 3:39:09.249 PM","2.010"
"95","2025-08-23 3:39:09.250 PM","2.010"
"96","2025-08-23 3:39:09.251 PM","2.010"
"97","2025-08-23 3:39:09.252 PM","2.010"
"98","2025-08-23 3:39:09.253 PM","2.010"
"99","2025-08-23 3:39:09.254 PM","2.010"
"100","2025-08-23 3:39:09.255 PM","2.005"
"101","2025-08-23 3:39:09.256 PM","2.005"
"102","2025-08-23 3:39:09.257 PM","2.005"
"103","2025-08-23 3:39:09.258 PM","2.005"
"104","2025-08-23 3:39:09.259 PM","2.005"
"105","2025-08-23 3:39:09.260 PM","2.005"
"106","2025-08-23 3:39:09.261 PM","2.005"
"107","2025-08-23 3:39:09.262 PM","2.005"
"108","2025-08-23 3:39:09.263 PM","2.005"
"109","2025-08-23 3:39:09.264 PM","2.010"
"110","2025-08-23 3:39:09.265 PM","1.658"
"111","2025-08-23 3:39:09.266 PM","1.658"
"112","2025-08-23 3:39:09.267 PM","1.658"
"113","2025-08-23 3:39:09.268 PM","1.658"
"114","2025-08-23 3:39:09.269 PM","1.653"
"115","2025-08-23 3:39:09.270 PM","1.658"
"116","2025-08-23 3:39:09.271 PM","1.658"
"117","2025-08-23 3:39:09.272 PM","1.658"
"118","2025-08-23 3:39:09.273 PM","1.663"
"119","2025-08-23 3:39:09.274 PM","1.668"
"120","2025-08-23 3:39:09.275 PM","1.653"
"121","2025-08-23 3:39:09.276 PM","1.653"
"122","2025-08-23 3:39:09.277 PM","1.653"
"123","2025-08-23 3:39:09.278 PM","1.658"
"124","2025-08-23 3:39:09.279 PM","1.653"
"125","2025-08-23 3:39:09.280 PM","1.653"
"126","2025-08-23 3:39:09.281 PM","1.658"
"127","2025-08-23 3:39:09.282 PM","1.731"
"128","2025-08-23 3:39:09.283 PM","1.731"
"129","2025-08-23 3:39:09.284 PM","1.736"
"130","2025-08-23 3:39:09.285 PM","1.731"
"131","2025-08-23 3:39:09.286 PM","1.736"
"132","2025-08-23 3:39:09.287 PM","1.731"
"133","2025-08-23 3:39:09.288 PM","1.731"
"134","2025-08-23 3:39:09.289 PM","1.731"
"135","2025-08-23 3:39:09.290 PM","1.726"
"136","2025-08-23 3:39:09.291 PM","1.726"
"137","2025-08-23 3:39:09.292 PM","1.726"
"138","2025-08-23 3:39:09.293 PM","1.726"
"139","2025-08-23 3:39:09.294 PM","1.726"
"140","2025-08-23 3:39:09.295 PM","1.731"
"141","2025-08-23 3:39:09.296 PM","1.731"
"142","2025-08-23 3:39:09.297 PM","1.731"
"143","2025-08-23 3:39:09.298 PM","1.731"
"144","2025-08-23 3:39:09.299 PM","2.024"
"145","2025-08-23 3:39:09.300 PM","2.034"
"146","2025-08-23 3:39:09.301 PM","2.034"
"147","2025-08-23 3:39:09.302 PM","2.034"
"148","2025-08-23 3:39:09.303 PM","2.034"
"149","2025-08-23 3:39:09.304 PM","2.034"
"150","2025-08-23 3:39:09.305 PM","2.034"
"151","2025-08-23 3:39:09.306 PM","2.034"
"152","2025-08-23 3:39:09.307 PM","2.024"
"153","2025-08-23 3:39:09.308 PM","2.024"
"154","2025-08-23 3:39:09.309 PM","2.024"
"155","2025-08-23 3:39:09.310 PM","2.024"
"156","2025-08-23 3:39:09.311 PM","2.024"
"157","2025-08-23 3:39:09.312 PM","2.024"
"158","2025-08-23 3:39:09.313 PM","2.024"
"159","2025-08-23 3:39:09.314 PM","2.024"
"160","2025-08-23 3:39:09.315 PM","1.658"
"161","2025-08-23 3:39:09.316 PM","1.658"
"162","2025-08-23 3:39:09.317 PM","1.658"
"163","2025-08-23 3:39:09.318 PM","1.658"
"164","2025-08-23 3:39:09.319 PM","1.658"
"165","2025-08-23 3:39:09.320 PM","1.658"
"166","2025-08-23 3:39:09.321 PM","1.653"
"167","2025-08-23 3:39:09.322 PM","1.653"
"168","2025-08-23 3:39:09.323 PM","1.653"
"169","2025-08-23 3:39:09.324 PM","1.653"
"170","2025-08-23 3:39:09.325 PM","1.653"
"171","2025-08-23 3:39:09.326 PM","1.653"
"172","2025-08-23 3:39:09.327 PM","1.648"
"173","2025-08-23 3:39:09.328 PM","1.648"
"174","2025-08-23 3:39:09.329 PM","1.653"
"175","2025-08-23 3:39:09.330 PM","1.658"
"176","2025-08-23 3:39:09.331 PM","1.736"
"177","2025-08-23 3:39:09.332 PM","1.731"
"178","2025-08-23 3:39:09.333 PM","1.731"
