"Device: USB-205"
"Serial Number: 22B4008"
"Channel Count: 1"
"Sample Count: 10584"
"Start Time: 2025-08-24 11:18:20.991 AM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)"
"0","2025-08-24 11:18:20.991 AM","1.536"
"1","2025-08-24 11:18:20.992 AM","1.595"
"2","2025-08-24 11:18:20.993 AM","1.595"
"3","2025-08-24 11:18:20.994 AM","1.595"
"4","2025-08-24 11:18:20.995 AM","1.595"
"5","2025-08-24 11:18:20.996 AM","1.595"
"6","2025-08-24 11:18:20.997 AM","1.600"
"7","2025-08-24 11:18:20.998 AM","1.604"
"8","2025-08-24 11:18:20.999 AM","1.595"
"9","2025-08-24 11:18:21.000 AM","1.595"
"10","2025-08-24 11:18:21.001 AM","1.595"
"11","2025-08-24 11:18:21.002 AM","1.590"
"12","2025-08-24 11:18:21.003 AM","1.595"
"13","2025-08-24 11:18:21.004 AM","1.595"
"14","2025-08-24 11:18:21.005 AM","1.595"
"15","2025-08-24 11:18:21.006 AM","1.595"
"16","2025-08-24 11:18:21.007 AM","1.595"
"17","2025-08-24 11:18:21.008 AM","1.595"
"18","2025-08-24 11:18:21.009 AM","1.389"
"19","2025-08-24 11:18:21.010 AM","1.385"
"20","2025-08-24 11:18:21.011 AM","1.385"
"21","2025-08-24 11:18:21.012 AM","1.385"
"22","2025-08-24 11:18:21.013 AM","1.385"
"23","2025-08-24 11:18:21.014 AM","1.385"
"24","2025-08-24 11:18:21.015 AM","1.385"
"25","2025-08-24 11:18:21.016 AM","1.385"
"26","2025-08-24 11:18:21.017 AM","1.380"
"27","2025-08-24 11:18:21.018 AM","1.380"
"28","2025-08-24 11:18:21.019 AM","1.380"
"29","2025-08-24 11:18:21.020 AM","1.380"
"30","2025-08-24 11:18:21.021 AM","1.380"
"31","2025-08-24 11:18:21.022 AM","1.380"
"32","2025-08-24 11:18:21.023 AM","1.385"
"33","2025-08-24 11:18:21.024 AM","1.385"
"34","2025-08-24 11:18:21.025 AM","1.541"
"35","2025-08-24 11:18:21.026 AM","1.541"
