"Device: USB-205"
"Serial Number: 22B4008"
"Channel Count: 1"
"Sample Count: 10332"
"Start Time: 2025-08-24 10:56:16.577 AM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)"
"0","2025-08-24 10:56:16.577 AM","1.614"
"1","2025-08-24 10:56:16.578 AM","1.614"
"2","2025-08-24 10:56:16.579 AM","1.614"
"3","2025-08-24 10:56:16.580 AM","1.614"
"4","2025-08-24 10:56:16.581 AM","1.614"
"5","2025-08-24 10:56:16.582 AM","1.614"
"6","2025-08-24 10:56:16.583 AM","1.609"
"7","2025-08-24 10:56:16.584 AM","1.609"
"8","2025-08-24 10:56:16.585 AM","1.609"
"9","2025-08-24 10:56:16.586 AM","1.604"
"10","2025-08-24 10:56:16.587 AM","1.609"
"11","2025-08-24 10:56:16.588 AM","1.600"
"12","2025-08-24 10:56:16.589 AM","1.614"
"13","2025-08-24 10:56:16.590 AM","1.614"
"14","2025-08-24 10:56:16.591 AM","1.614"
"15","2025-08-24 10:56:16.592 AM","1.609"
"16","2025-08-24 10:56:16.593 AM","1.609"
"17","2025-08-24 10:56:16.594 AM","1.526"
"18","2025-08-24 10:56:16.595 AM","1.526"
"19","2025-08-24 10:56:16.596 AM","1.526"
"20","2025-08-24 10:56:16.597 AM","1.521"
"21","2025-08-24 10:56:16.598 AM","1.521"
"22","2025-08-24 10:56:16.599 AM","1.521"
"23","2025-08-24 10:56:16.600 AM","1.521"
"24","2025-08-24 10:56:16.601 AM","1.521"
"25","2025-08-24 10:56:16.602 AM","1.512"
"26","2025-08-24 10:56:16.603 AM","1.521"
"27","2025-08-24 10:56:16.604 AM","1.521"
"28","2025-08-24 10:56:16.605 AM","1.521"
"29","2025-08-24 10:56:16.606 AM","1.521"
"30","2025-08-24 10:56:16.607 AM","1.521"
"31","2025-08-24 10:56:16.608 AM","1.521"
"32","2025-08-24 10:56:16.609 AM","1.521"
"33","2025-08-24 10:56:16.610 AM","1.614"
"34","2025-08-24 10:56:16.611 AM","1.614"
"35","2025-08-24 10:56:16.612 AM","1.614"
"36","2025-08-24 10:56:16.613 AM","1.614"
"37","2025-08-24 10:56:16.614 AM","1.614"
"38","2025-08-24 10:56:16.615 AM","1.614"
"39","2025-08-24 10:56:16.616 AM","1.609"
"40","2025-08-24 10:56:16.617 AM","1.609"
"41","2025-08-24 10:56:16.618 AM","1.604"
"42","2025-08-24 10:56:16.619 AM","1.604"
"43","2025-08-24 10:56:16.620 AM","1.604"
"44","2025-08-24 10:56:16.621 AM","1.624"
"45","2025-08-24 10:56:16.622 AM","1.624"
"46","2025-08-24 10:56:16.623 AM","1.624"
"47","2025-08-24 10:56:16.624 AM","1.614"
"48","2025-08-24 10:56:16.625 AM","1.614"
"49","2025-08-24 10:56:16.626 AM","1.614"
"50","2025-08-24 10:56:16.627 AM","1.541"
"51","2025-08-24 10:56:16.628 AM","1.536"
"52","2025-08-24 10:56:16.629 AM","1.541"
"53","2025-08-24 10:56:16.630 AM","1.541"
"54","2025-08-24 10:56:16.631 AM","1.541"
"55","2025-08-24 10:56:16.632 AM","1.541"
"56","2025-08-24 10:56:16.633 AM","1.541"
"57","2025-08-24 10:56:16.634 AM","1.541"
"58","2025-08-24 10:56:16.635 AM","1.536"
"59","2025-08-24 10:56:16.636 AM","1.536"
"60","2025-08-24 10:56:16.637 AM","1.536"
"61","2025-08-24 10:56:16.638 AM","1.536"
"62","2025-08-24 10:56:16.639 AM","1.536"
"63","2025-08-24 10:56:16.640 AM","1.536"
"64","2025-08-24 10:56:16.641 AM","1.536"
"65","2025-08-24 10:56:16.642 AM","1.541"
"66","2025-08-24 10:56:16.643 AM","1.614"
"67","2025-08-24 10:56:16.644 AM","1.614"
"68","2025-08-24 10:56:16.645 AM","1.614"
"69","2025-08-24 10:56:16.646 AM","1.614"
"70","2025-08-24 10:56:16.647 AM","1.614"
"71","2025-08-24 10:56:16.648 AM","1.614"
"72","2025-08-24 10:56:16.649 AM","1.609"
"73","2025-08-24 10:56:16.650 AM","1.609"
"74","2025-08-24 10:56:16.651 AM","1.604"
"75","2025-08-24 10:56:16.652 AM","1.604"
"76","2025-08-24 10:56:16.653 AM","1.614"
"77","2025-08-24 10:56:16.654 AM","1.624"
"78","2025-08-24 10:56:16.655 AM","1.624"
"79","2025-08-24 10:56:16.656 AM","1.624"
"80","2025-08-24 10:56:16.657 AM","1.609"
"81","2025-08-24 10:56:16.658 AM","1.614"
"82","2025-08-24 10:56:16.659 AM","1.614"
"83","2025-08-24 10:56:16.660 AM","1.541"
"84","2025-08-24 10:56:16.661 AM","1.541"
"85","2025-08-24 10:56:16.662 AM","1.541"
"86","2025-08-24 10:56:16.663 AM","1.541"
"87","2025-08-24 10:56:16.664 AM","1.541"
"88","2025-08-24 10:56:16.665 AM","1.541"
"89","2025-08-24 10:56:16.666 AM","1.541"
"90","2025-08-24 10:56:16.667 AM","1.536"
"91","2025-08-24 10:56:16.668 AM","1.541"
"92","2025-08-24 10:56:16.669 AM","1.536"
"93","2025-08-24 10:56:16.670 AM","1.541"
"94","2025-08-24 10:56:16.671 AM","1.536"
"95","2025-08-24 10:56:16.672 AM","1.536"
"96","2025-08-24 10:56:16.673 AM","1.536"
"97","2025-08-24 10:56:16.674 AM","1.541"
"98","2025-08-24 10:56:16.675 AM","1.541"
"99","2025-08-24 10:56:16.676 AM","1.595"
"100","2025-08-24 10:56:16.677 AM","1.595"
"101","2025-08-24 10:56:16.678 AM","1.595"
"102","2025-08-24 10:56:16.679 AM","1.595"
"103","2025-08-24 10:56:16.680 AM","1.595"
"104","2025-08-24 10:56:16.681 AM","1.595"
"105","2025-08-24 10:56:16.682 AM","1.590"
"106","2025-08-24 10:56:16.683 AM","1.585"
"107","2025-08-24 10:56:16.684 AM","1.585"
"108","2025-08-24 10:56:16.685 AM","1.595"
"109","2025-08-24 10:56:16.686 AM","1.600"
"110","2025-08-24 10:56:16.687 AM","1.604"
"111","2025-08-24 10:56:16.688 AM","1.600"
"112","2025-08-24 10:56:16.689 AM","1.595"
"113","2025-08-24 10:56:16.690 AM","1.595"
"114","2025-08-24 10:56:16.691 AM","1.595"
"115","2025-08-24 10:56:16.692 AM","1.595"
"116","2025-08-24 10:56:16.693 AM","1.541"
"117","2025-08-24 10:56:16.694 AM","1.541"
"118","2025-08-24 10:56:16.695 AM","1.541"
"119","2025-08-24 10:56:16.696 AM","1.541"
"120","2025-08-24 10:56:16.697 AM","1.541"
"121","2025-08-24 10:56:16.698 AM","1.541"
"122","2025-08-24 10:56:16.699 AM","1.541"
"123","2025-08-24 10:56:16.700 AM","1.541"
"124","2025-08-24 10:56:16.701 AM","1.536"
"125","2025-08-24 10:56:16.702 AM","1.541"
"126","2025-08-24 10:56:16.703 AM","1.536"
"127","2025-08-24 10:56:16.704 AM","1.536"
"128","2025-08-24 10:56:16.705 AM","1.536"
"129","2025-08-24 10:56:16.706 AM","1.536"
"130","2025-08-24 10:56:16.707 AM","1.541"
"131","2025-08-24 10:56:16.708 AM","1.541"
"132","2025-08-24 10:56:16.709 AM","1.595"
"133","2025-08-24 10:56:16.710 AM","1.595"
"134","2025-08-24 10:56:16.711 AM","1.595"
"135","2025-08-24 10:56:16.712 AM","1.595"
"136","2025-08-24 10:56:16.713 AM","1.595"
"137","2025-08-24 10:56:16.714 AM","1.595"
"138","2025-08-24 10:56:16.715 AM","1.590"
"139","2025-08-24 10:56:16.716 AM","1.585"
"140","2025-08-24 10:56:16.717 AM","1.600"
"141","2025-08-24 10:56:16.718 AM","1.600"
"142","2025-08-24 10:56:16.719 AM","1.600"
"143","2025-08-24 10:56:16.720 AM","1.604"
"144","2025-08-24 10:56:16.721 AM","1.595"
"145","2025-08-24 10:56:16.722 AM","1.595"
"146","2025-08-24 10:56:16.723 AM","1.590"
"147","2025-08-24 10:56:16.724 AM","1.595"
"148","2025-08-24 10:56:16.725 AM","1.595"
"149","2025-08-24 10:56:16.726 AM","1.541"
"150","2025-08-24 10:56:16.727 AM","1.541"
"151","2025-08-24 10:56:16.728 AM","1.541"
"152","2025-08-24 10:56:16.729 AM","1.541"
"153","2025-08-24 10:56:16.730 AM","1.541"
"154","2025-08-24 10:56:16.731 AM","1.541"
"155","2025-08-24 10:56:16.732 AM","1.536"
"156","2025-08-24 10:56:16.733 AM","1.536"
"157","2025-08-24 10:56:16.734 AM","1.541"
"158","2025-08-24 10:56:16.735 AM","1.536"
"159","2025-08-24 10:56:16.736 AM","1.536"
"160","2025-08-24 10:56:16.737 AM","1.536"
"161","2025-08-24 10:56:16.738 AM","1.541"
"162","2025-08-24 10:56:16.739 AM","1.536"
"163","2025-08-24 10:56:16.740 AM","1.536"
"164","2025-08-24 10:56:16.741 AM","1.541"
"165","2025-08-24 10:56:16.742 AM","1.595"
"166","2025-08-24 10:56:16.743 AM","1.595"
"167","2025-08-24 10:56:16.744 AM","1.595"
"168","2025-08-24 10:56:16.745 AM","1.595"
"169","2025-08-24 10:56:16.746 AM","1.595"
"170","2025-08-24 10:56:16.747 AM","1.595"
"171","2025-08-24 10:56:16.748 AM","1.595"
"172","2025-08-24 10:56:16.749 AM","1.600"
"173","2025-08-24 10:56:16.750 AM","1.600"
"174","2025-08-24 10:56:16.751 AM","1.600"
"175","2025-08-24 10:56:16.752 AM","1.604"
"176","2025-08-24 10:56:16.753 AM","1.595"
"177","2025-08-24 10:56:16.754 AM","1.595"
"178","2025-08-24 10:56:16.755 AM","1.595"
"179","2025-08-24 10:56:16.756 AM","1.595"
"180","2025-08-24 10:56:16.757 AM","1.595"
"181","2025-08-24 10:56:16.758 AM","1.595"
"182","2025-08-24 10:56:16.759 AM","1.541"
"183","2025-08-24 10:56:16.760 AM","1.541"
"184","2025-08-24 10:56:16.761 AM","1.541"
"185","2025-08-24 10:56:16.762 AM","1.541"
"186","2025-08-24 10:56:16.763 AM","1.541"
"187","2025-08-24 10:56:16.764 AM","1.541"
"188","2025-08-24 10:56:16.765 AM","1.536"
"189","2025-08-24 10:56:16.766 AM","1.536"
"190","2025-08-24 10:56:16.767 AM","1.541"
"191","2025-08-24 10:56:16.768 AM","1.536"
"192","2025-08-24 10:56:16.769 AM","1.536"
"193","2025-08-24 10:56:16.770 AM","1.536"
"194","2025-08-24 10:56:16.771 AM","1.536"
"195","2025-08-24 10:56:16.772 AM","1.536"
"196","2025-08-24 10:56:16.773 AM","1.541"
"197","2025-08-24 10:56:16.774 AM","1.541"
"198","2025-08-24 10:56:16.775 AM","1.595"
"199","2025-08-24 10:56:16.776 AM","1.595"
"200","2025-08-24 10:56:16.777 AM","1.595"
"201","2025-08-24 10:56:16.778 AM","1.595"
"202","2025-08-24 10:56:16.779 AM","1.595"
"203","2025-08-24 10:56:16.780 AM","1.595"
"204","2025-08-24 10:56:16.781 AM","1.600"
"205","2025-08-24 10:56:16.782 AM","1.600"
"206","2025-08-24 10:56:16.783 AM","1.604"
"207","2025-08-24 10:56:16.784 AM","1.595"
"208","2025-08-24 10:56:16.785 AM","1.595"
"209","2025-08-24 10:56:16.786 AM","1.595"
"210","2025-08-24 10:56:16.787 AM","1.595"
"211","2025-08-24 10:56:16.788 AM","1.595"
"212","2025-08-24 10:56:16.789 AM","1.595"
"213","2025-08-24 10:56:16.790 AM","1.595"
"214","2025-08-24 10:56:16.791 AM","1.595"
"215","2025-08-24 10:56:16.792 AM","1.556"
"216","2025-08-24 10:56:16.793 AM","1.560"
"217","2025-08-24 10:56:16.794 AM","1.560"
"218","2025-08-24 10:56:16.795 AM","1.560"
"219","2025-08-24 10:56:16.796 AM","1.560"
"220","2025-08-24 10:56:16.797 AM","1.560"
"221","2025-08-24 10:56:16.798 AM","1.556"
"222","2025-08-24 10:56:16.799 AM","1.556"
"223","2025-08-24 10:56:16.800 AM","1.556"
"224","2025-08-24 10:56:16.801 AM","1.556"
"225","2025-08-24 10:56:16.802 AM","1.556"
"226","2025-08-24 10:56:16.803 AM","1.556"
"227","2025-08-24 10:56:16.804 AM","1.556"
"228","2025-08-24 10:56:16.805 AM","1.556"
"229","2025-08-24 10:56:16.806 AM","1.556"
"230","2025-08-24 10:56:16.807 AM","1.556"
"231","2025-08-24 10:56:16.808 AM","1.595"
"232","2025-08-24 10:56:16.809 AM","1.595"
"233","2025-08-24 10:56:16.810 AM","1.595"
"234","2025-08-24 10:56:16.811 AM","1.595"
"235","2025-08-24 10:56:16.812 AM","1.595"
"236","2025-08-24 10:56:16.813 AM","1.595"
"237","2025-08-24 10:56:16.814 AM","1.604"
"238","2025-08-24 10:56:16.815 AM","1.600"
"239","2025-08-24 10:56:16.816 AM","1.595"
"240","2025-08-24 10:56:16.817 AM","1.595"
"241","2025-08-24 10:56:16.818 AM","1.595"
"242","2025-08-24 10:56:16.819 AM","1.595"
"243","2025-08-24 10:56:16.820 AM","1.595"
"244","2025-08-24 10:56:16.821 AM","1.595"
"245","2025-08-24 10:56:16.822 AM","1.595"
"246","2025-08-24 10:56:16.823 AM","1.595"
"247","2025-08-24 10:56:16.824 AM","1.595"
"248","2025-08-24 10:56:16.825 AM","1.556"
"249","2025-08-24 10:56:16.826 AM","1.560"
"250","2025-08-24 10:56:16.827 AM","1.560"
"251","2025-08-24 10:56:16.828 AM","1.560"
"252","2025-08-24 10:56:16.829 AM","1.560"
"253","2025-08-24 10:56:16.830 AM","1.556"
"254","2025-08-24 10:56:16.831 AM","1.556"
"255","2025-08-24 10:56:16.832 AM","1.556"
"256","2025-08-24 10:56:16.833 AM","1.556"
"257","2025-08-24 10:56:16.834 AM","1.556"
"258","2025-08-24 10:56:16.835 AM","1.556"
"259","2025-08-24 10:56:16.836 AM","1.556"
"260","2025-08-24 10:56:16.837 AM","1.556"
"261","2025-08-24 10:56:16.838 AM","1.551"
"262","2025-08-24 10:56:16.839 AM","1.560"
"263","2025-08-24 10:56:16.840 AM","1.556"
"264","2025-08-24 10:56:16.841 AM","1.595"
"265","2025-08-24 10:56:16.842 AM","1.595"
"266","2025-08-24 10:56:16.843 AM","1.595"
"267","2025-08-24 10:56:16.844 AM","1.595"
"268","2025-08-24 10:56:16.845 AM","1.595"
"269","2025-08-24 10:56:16.846 AM","1.595"
"270","2025-08-24 10:56:16.847 AM","1.604"
"271","2025-08-24 10:56:16.848 AM","1.595"
"272","2025-08-24 10:56:16.849 AM","1.595"
"273","2025-08-24 10:56:16.850 AM","1.595"
"274","2025-08-24 10:56:16.851 AM","1.595"
"275","2025-08-24 10:56:16.852 AM","1.595"
"276","2025-08-24 10:56:16.853 AM","1.595"
"277","2025-08-24 10:56:16.854 AM","1.595"
"278","2025-08-24 10:56:16.855 AM","1.595"
"279","2025-08-24 10:56:16.856 AM","1.595"
"280","2025-08-24 10:56:16.857 AM","1.595"
"281","2025-08-24 10:56:16.858 AM","1.556"
"282","2025-08-24 10:56:16.859 AM","1.560"
"283","2025-08-24 10:56:16.860 AM","1.560"
"284","2025-08-24 10:56:16.861 AM","1.560"
"285","2025-08-24 10:56:16.862 AM","1.560"
"286","2025-08-24 10:56:16.863 AM","1.556"
"287","2025-08-24 10:56:16.864 AM","1.556"
"288","2025-08-24 10:56:16.865 AM","1.556"
"289","2025-08-24 10:56:16.866 AM","1.556"
"290","2025-08-24 10:56:16.867 AM","1.556"
"291","2025-08-24 10:56:16.868 AM","1.556"
"292","2025-08-24 10:56:16.869 AM","1.556"
"293","2025-08-24 10:56:16.870 AM","1.556"
"294","2025-08-24 10:56:16.871 AM","1.556"
"295","2025-08-24 10:56:16.872 AM","1.560"
"296","2025-08-24 10:56:16.873 AM","1.556"
"297","2025-08-24 10:56:16.874 AM","1.580"
"298","2025-08-24 10:56:16.875 AM","1.575"
"299","2025-08-24 10:56:16.876 AM","1.575"
"300","2025-08-24 10:56:16.877 AM","1.575"
"301","2025-08-24 10:56:16.878 AM","1.575"
"302","2025-08-24 10:56:16.879 AM","1.575"
"303","2025-08-24 10:56:16.880 AM","1.580"
"304","2025-08-24 10:56:16.881 AM","1.575"
"305","2025-08-24 10:56:16.882 AM","1.575"
"306","2025-08-24 10:56:16.883 AM","1.575"
"307","2025-08-24 10:56:16.884 AM","1.575"
"308","2025-08-24 10:56:16.885 AM","1.575"
"309","2025-08-24 10:56:16.886 AM","1.575"
"310","2025-08-24 10:56:16.887 AM","1.575"
"311","2025-08-24 10:56:16.888 AM","1.570"
