"Device: USB-205"
"Serial Number: 22B4008"
"Channel Count: 1"
"Sample Count: 10584"
"Start Time: 2025-08-23 9:54:55.819 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)"
"0","2025-08-23 9:54:55.819 PM","1.595"
"1","2025-08-23 9:54:55.820 PM","1.590"
"2","2025-08-23 9:54:55.821 PM","1.595"
"3","2025-08-23 9:54:55.822 PM","1.595"
"4","2025-08-23 9:54:55.823 PM","1.595"
"5","2025-08-23 9:54:55.824 PM","1.595"
"6","2025-08-23 9:54:55.825 PM","1.541"
"7","2025-08-23 9:54:55.826 PM","1.541"
"8","2025-08-23 9:54:55.827 PM","1.541"
"9","2025-08-23 9:54:55.828 PM","1.541"
"10","2025-08-23 9:54:55.829 PM","1.541"
"11","2025-08-23 9:54:55.830 PM","1.541"
"12","2025-08-23 9:54:55.831 PM","1.536"
"13","2025-08-23 9:54:55.832 PM","1.536"
"14","2025-08-23 9:54:55.833 PM","1.536"
"15","2025-08-23 9:54:55.834 PM","1.536"
"16","2025-08-23 9:54:55.835 PM","1.536"
"17","2025-08-23 9:54:55.836 PM","1.531"
"18","2025-08-23 9:54:55.837 PM","1.531"
"19","2025-08-23 9:54:55.838 PM","1.531"
"20","2025-08-23 9:54:55.839 PM","1.541"
"21","2025-08-23 9:54:55.840 PM","1.541"
"22","2025-08-23 9:54:55.841 PM","1.482"
"23","2025-08-23 9:54:55.842 PM","1.482"
"24","2025-08-23 9:54:55.843 PM","1.482"
"25","2025-08-23 9:54:55.844 PM","1.482"
"26","2025-08-23 9:54:55.845 PM","1.482"
"27","2025-08-23 9:54:55.846 PM","1.482"
"28","2025-08-23 9:54:55.847 PM","1.482"
"29","2025-08-23 9:54:55.848 PM","1.482"
"30","2025-08-23 9:54:55.849 PM","1.482"
"31","2025-08-23 9:54:55.850 PM","1.482"
"32","2025-08-23 9:54:55.851 PM","1.477"
"33","2025-08-23 9:54:55.852 PM","1.477"
"34","2025-08-23 9:54:55.853 PM","1.477"
"35","2025-08-23 9:54:55.854 PM","1.482"
"36","2025-08-23 9:54:55.855 PM","1.482"
"37","2025-08-23 9:54:55.856 PM","1.482"
"38","2025-08-23 9:54:55.857 PM","1.482"
"39","2025-08-23 9:54:55.858 PM","1.463"
"40","2025-08-23 9:54:55.859 PM","1.463"
"41","2025-08-23 9:54:55.860 PM","1.463"
"42","2025-08-23 9:54:55.861 PM","1.463"
"43","2025-08-23 9:54:55.862 PM","1.463"
"44","2025-08-23 9:54:55.863 PM","1.463"
"45","2025-08-23 9:54:55.864 PM","1.463"
"46","2025-08-23 9:54:55.865 PM","1.463"
"47","2025-08-23 9:54:55.866 PM","1.458"
"48","2025-08-23 9:54:55.867 PM","1.458"
"49","2025-08-23 9:54:55.868 PM","1.453"
"50","2025-08-23 9:54:55.869 PM","1.458"
"51","2025-08-23 9:54:55.870 PM","1.453"
"52","2025-08-23 9:54:55.871 PM","1.468"
"53","2025-08-23 9:54:55.872 PM","1.463"
"54","2025-08-23 9:54:55.873 PM","1.463"
"55","2025-08-23 9:54:55.874 PM","1.521"
"56","2025-08-23 9:54:55.875 PM","1.521"
"57","2025-08-23 9:54:55.876 PM","1.526"
"58","2025-08-23 9:54:55.877 PM","1.526"
"59","2025-08-23 9:54:55.878 PM","1.521"
"60","2025-08-23 9:54:55.879 PM","1.521"
"61","2025-08-23 9:54:55.880 PM","1.521"
"62","2025-08-23 9:54:55.881 PM","1.521"
"63","2025-08-23 9:54:55.882 PM","1.521"
"64","2025-08-23 9:54:55.883 PM","1.521"
"65","2025-08-23 9:54:55.884 PM","1.521"
"66","2025-08-23 9:54:55.885 PM","1.521"
"67","2025-08-23 9:54:55.886 PM","1.521"
"68","2025-08-23 9:54:55.887 PM","1.521"
"69","2025-08-23 9:54:55.888 PM","1.521"
"70","2025-08-23 9:54:55.889 PM","1.521"
"71","2025-08-23 9:54:55.890 PM","1.521"
"72","2025-08-23 9:54:55.891 PM","1.575"
"73","2025-08-23 9:54:55.892 PM","1.575"
"74","2025-08-23 9:54:55.893 PM","1.575"
"75","2025-08-23 9:54:55.894 PM","1.580"
"76","2025-08-23 9:54:55.895 PM","1.575"
"77","2025-08-23 9:54:55.896 PM","1.580"
"78","2025-08-23 9:54:55.897 PM","1.575"
"79","2025-08-23 9:54:55.898 PM","1.570"
"80","2025-08-23 9:54:55.899 PM","1.570"
"81","2025-08-23 9:54:55.900 PM","1.570"
"82","2025-08-23 9:54:55.901 PM","1.570"
"83","2025-08-23 9:54:55.902 PM","1.570"
"84","2025-08-23 9:54:55.903 PM","1.570"
"85","2025-08-23 9:54:55.904 PM","1.580"
"86","2025-08-23 9:54:55.905 PM","1.575"
"87","2025-08-23 9:54:55.906 PM","1.575"
"88","2025-08-23 9:54:55.907 PM","1.575"
"89","2025-08-23 9:54:55.908 PM","1.614"
"90","2025-08-23 9:54:55.909 PM","1.614"
"91","2025-08-23 9:54:55.910 PM","1.614"
"92","2025-08-23 9:54:55.911 PM","1.614"
"93","2025-08-23 9:54:55.912 PM","1.614"
"94","2025-08-23 9:54:55.913 PM","1.614"
"95","2025-08-23 9:54:55.914 PM","1.614"
"96","2025-08-23 9:54:55.915 PM","1.614"
"97","2025-08-23 9:54:55.916 PM","1.614"
"98","2025-08-23 9:54:55.917 PM","1.609"
"99","2025-08-23 9:54:55.918 PM","1.609"
"100","2025-08-23 9:54:55.919 PM","1.609"
"101","2025-08-23 9:54:55.920 PM","1.614"
"102","2025-08-23 9:54:55.921 PM","1.614"
"103","2025-08-23 9:54:55.922 PM","1.614"
"104","2025-08-23 9:54:55.923 PM","1.614"
"105","2025-08-23 9:54:55.924 PM","1.595"
"106","2025-08-23 9:54:55.925 PM","1.595"
"107","2025-08-23 9:54:55.926 PM","1.595"
"108","2025-08-23 9:54:55.927 PM","1.595"
"109","2025-08-23 9:54:55.928 PM","1.595"
"110","2025-08-23 9:54:55.929 PM","1.600"
"111","2025-08-23 9:54:55.930 PM","1.590"
"112","2025-08-23 9:54:55.931 PM","1.590"
"113","2025-08-23 9:54:55.932 PM","1.590"
"114","2025-08-23 9:54:55.933 PM","1.585"
"115","2025-08-23 9:54:55.934 PM","1.590"
"116","2025-08-23 9:54:55.935 PM","1.585"
"117","2025-08-23 9:54:55.936 PM","1.595"
"118","2025-08-23 9:54:55.937 PM","1.600"
"119","2025-08-23 9:54:55.938 PM","1.595"
"120","2025-08-23 9:54:55.939 PM","1.595"
"121","2025-08-23 9:54:55.940 PM","1.595"
"122","2025-08-23 9:54:55.941 PM","1.521"
"123","2025-08-23 9:54:55.942 PM","1.526"
"124","2025-08-23 9:54:55.943 PM","1.521"
"125","2025-08-23 9:54:55.944 PM","1.521"
"126","2025-08-23 9:54:55.945 PM","1.521"
"127","2025-08-23 9:54:55.946 PM","1.526"
"128","2025-08-23 9:54:55.947 PM","1.521"
"129","2025-08-23 9:54:55.948 PM","1.521"
"130","2025-08-23 9:54:55.949 PM","1.521"
"131","2025-08-23 9:54:55.950 PM","1.521"
"132","2025-08-23 9:54:55.951 PM","1.521"
"133","2025-08-23 9:54:55.952 PM","1.521"
"134","2025-08-23 9:54:55.953 PM","1.521"
"135","2025-08-23 9:54:55.954 PM","1.521"
"136","2025-08-23 9:54:55.955 PM","1.521"
"137","2025-08-23 9:54:55.956 PM","1.526"
"138","2025-08-23 9:54:55.957 PM","1.463"
"139","2025-08-23 9:54:55.958 PM","1.468"
"140","2025-08-23 9:54:55.959 PM","1.463"
"141","2025-08-23 9:54:55.960 PM","1.463"
"142","2025-08-23 9:54:55.961 PM","1.463"
"143","2025-08-23 9:54:55.962 PM","1.463"
"144","2025-08-23 9:54:55.963 PM","1.463"
"145","2025-08-23 9:54:55.964 PM","1.458"
"146","2025-08-23 9:54:55.965 PM","1.458"
"147","2025-08-23 9:54:55.966 PM","1.458"
"148","2025-08-23 9:54:55.967 PM","1.453"
"149","2025-08-23 9:54:55.968 PM","1.458"
"150","2025-08-23 9:54:55.969 PM","1.468"
"151","2025-08-23 9:54:55.970 PM","1.468"
"152","2025-08-23 9:54:55.971 PM","1.463"
"153","2025-08-23 9:54:55.972 PM","1.463"
"154","2025-08-23 9:54:55.973 PM","1.482"
"155","2025-08-23 9:54:55.974 PM","1.482"
"156","2025-08-23 9:54:55.975 PM","1.482"
"157","2025-08-23 9:54:55.976 PM","1.482"
"158","2025-08-23 9:54:55.977 PM","1.482"
"159","2025-08-23 9:54:55.978 PM","1.482"
"160","2025-08-23 9:54:55.979 PM","1.482"
"161","2025-08-23 9:54:55.980 PM","1.482"
"162","2025-08-23 9:54:55.981 PM","1.482"
"163","2025-08-23 9:54:55.982 PM","1.477"
"164","2025-08-23 9:54:55.983 PM","1.482"
"165","2025-08-23 9:54:55.984 PM","1.482"
"166","2025-08-23 9:54:55.985 PM","1.477"
"167","2025-08-23 9:54:55.986 PM","1.482"
"168","2025-08-23 9:54:55.987 PM","1.477"
"169","2025-08-23 9:54:55.988 PM","1.482"
"170","2025-08-23 9:54:55.989 PM","1.482"
"171","2025-08-23 9:54:55.990 PM","1.541"
"172","2025-08-23 9:54:55.991 PM","1.541"
"173","2025-08-23 9:54:55.992 PM","1.541"
"174","2025-08-23 9:54:55.993 PM","1.541"
"175","2025-08-23 9:54:55.994 PM","1.541"
"176","2025-08-23 9:54:55.995 PM","1.541"
"177","2025-08-23 9:54:55.996 PM","1.536"
"178","2025-08-23 9:54:55.997 PM","1.536"
"179","2025-08-23 9:54:55.998 PM","1.536"
"180","2025-08-23 9:54:55.999 PM","1.531"
"181","2025-08-23 9:54:56.000 PM","1.531"
"182","2025-08-23 9:54:56.001 PM","1.541"
"183","2025-08-23 9:54:56.002 PM","1.546"
"184","2025-08-23 9:54:56.003 PM","1.546"
"185","2025-08-23 9:54:56.004 PM","1.541"
"186","2025-08-23 9:54:56.005 PM","1.541"
"187","2025-08-23 9:54:56.006 PM","1.541"
"188","2025-08-23 9:54:56.007 PM","1.595"
"189","2025-08-23 9:54:56.008 PM","1.595"
"190","2025-08-23 9:54:56.009 PM","1.600"
"191","2025-08-23 9:54:56.010 PM","1.595"
"192","2025-08-23 9:54:56.011 PM","1.595"
"193","2025-08-23 9:54:56.012 PM","1.595"
"194","2025-08-23 9:54:56.013 PM","1.595"
"195","2025-08-23 9:54:56.014 PM","1.595"
"196","2025-08-23 9:54:56.015 PM","1.595"
"197","2025-08-23 9:54:56.016 PM","1.595"
"198","2025-08-23 9:54:56.017 PM","1.595"
"199","2025-08-23 9:54:56.018 PM","1.590"
"200","2025-08-23 9:54:56.019 PM","1.595"
"201","2025-08-23 9:54:56.020 PM","1.595"
"202","2025-08-23 9:54:56.021 PM","1.595"
"203","2025-08-23 9:54:56.022 PM","1.600"
"204","2025-08-23 9:54:56.023 PM","1.614"
"205","2025-08-23 9:54:56.024 PM","1.614"
"206","2025-08-23 9:54:56.025 PM","1.614"
"207","2025-08-23 9:54:56.026 PM","1.614"
"208","2025-08-23 9:54:56.027 PM","1.614"
"209","2025-08-23 9:54:56.028 PM","1.614"
"210","2025-08-23 9:54:56.029 PM","1.609"
"211","2025-08-23 9:54:56.030 PM","1.609"
"212","2025-08-23 9:54:56.031 PM","1.604"
"213","2025-08-23 9:54:56.032 PM","1.604"
"214","2025-08-23 9:54:56.033 PM","1.609"
"215","2025-08-23 9:54:56.034 PM","1.624"
"216","2025-08-23 9:54:56.035 PM","1.624"
"217","2025-08-23 9:54:56.036 PM","1.624"
"218","2025-08-23 9:54:56.037 PM","1.614"
"219","2025-08-23 9:54:56.038 PM","1.614"
"220","2025-08-23 9:54:56.039 PM","1.614"
"221","2025-08-23 9:54:56.040 PM","1.580"
"222","2025-08-23 9:54:56.041 PM","1.580"
"223","2025-08-23 9:54:56.042 PM","1.575"
"224","2025-08-23 9:54:56.043 PM","1.580"
"225","2025-08-23 9:54:56.044 PM","1.580"
"226","2025-08-23 9:54:56.045 PM","1.575"
"227","2025-08-23 9:54:56.046 PM","1.575"
"228","2025-08-23 9:54:56.047 PM","1.575"
"229","2025-08-23 9:54:56.048 PM","1.575"
"230","2025-08-23 9:54:56.049 PM","1.575"
"231","2025-08-23 9:54:56.050 PM","1.575"
"232","2025-08-23 9:54:56.051 PM","1.575"
"233","2025-08-23 9:54:56.052 PM","1.575"
"234","2025-08-23 9:54:56.053 PM","1.575"
"235","2025-08-23 9:54:56.054 PM","1.575"
"236","2025-08-23 9:54:56.055 PM","1.575"
"237","2025-08-23 9:54:56.056 PM","1.502"
"238","2025-08-23 9:54:56.057 PM","1.502"
"239","2025-08-23 9:54:56.058 PM","1.502"
"240","2025-08-23 9:54:56.059 PM","1.502"
"241","2025-08-23 9:54:56.060 PM","1.502"
"242","2025-08-23 9:54:56.061 PM","1.502"
"243","2025-08-23 9:54:56.062 PM","1.497"
"244","2025-08-23 9:54:56.063 PM","1.492"
"245","2025-08-23 9:54:56.064 PM","1.492"
"246","2025-08-23 9:54:56.065 PM","1.492"
"247","2025-08-23 9:54:56.066 PM","1.502"
"248","2025-08-23 9:54:56.067 PM","1.502"
"249","2025-08-23 9:54:56.068 PM","1.507"
"250","2025-08-23 9:54:56.069 PM","1.507"
"251","2025-08-23 9:54:56.070 PM","1.497"
"252","2025-08-23 9:54:56.071 PM","1.502"
"253","2025-08-23 9:54:56.072 PM","1.502"
"254","2025-08-23 9:54:56.073 PM","1.463"
"255","2025-08-23 9:54:56.074 PM","1.463"
"256","2025-08-23 9:54:56.075 PM","1.463"
"257","2025-08-23 9:54:56.076 PM","1.463"
"258","2025-08-23 9:54:56.077 PM","1.463"
"259","2025-08-23 9:54:56.078 PM","1.463"
