"Device: USB-205"
"Serial Number: 22B4008"
"Channel Count: 1"
"Sample Count: 10038"
"Start Time: 2025-08-23 9:24:28.261 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)"
"0","2025-08-23 9:24:28.261 PM","1.575"
"1","2025-08-23 9:24:28.262 PM","1.575"
"2","2025-08-23 9:24:28.263 PM","1.634"
"3","2025-08-23 9:24:28.264 PM","1.639"
"4","2025-08-23 9:24:28.265 PM","1.639"
"5","2025-08-23 9:24:28.266 PM","1.634"
"6","2025-08-23 9:24:28.267 PM","1.639"
"7","2025-08-23 9:24:28.268 PM","1.639"
"8","2025-08-23 9:24:28.269 PM","1.639"
"9","2025-08-23 9:24:28.270 PM","1.634"
"10","2025-08-23 9:24:28.271 PM","1.634"
"11","2025-08-23 9:24:28.272 PM","1.639"
"12","2025-08-23 9:24:28.273 PM","1.634"
"13","2025-08-23 9:24:28.274 PM","1.634"
"14","2025-08-23 9:24:28.275 PM","1.634"
"15","2025-08-23 9:24:28.276 PM","1.634"
"16","2025-08-23 9:24:28.277 PM","1.634"
"17","2025-08-23 9:24:28.278 PM","1.634"
"18","2025-08-23 9:24:28.279 PM","1.614"
"19","2025-08-23 9:24:28.280 PM","1.614"
"20","2025-08-23 9:24:28.281 PM","1.614"
"21","2025-08-23 9:24:28.282 PM","1.614"
"22","2025-08-23 9:24:28.283 PM","1.614"
"23","2025-08-23 9:24:28.284 PM","1.614"
"24","2025-08-23 9:24:28.285 PM","1.609"
"25","2025-08-23 9:24:28.286 PM","1.609"
"26","2025-08-23 9:24:28.287 PM","1.609"
"27","2025-08-23 9:24:28.288 PM","1.609"
"28","2025-08-23 9:24:28.289 PM","1.609"
"29","2025-08-23 9:24:28.290 PM","1.604"
"30","2025-08-23 9:24:28.291 PM","1.609"
"31","2025-08-23 9:24:28.292 PM","1.604"
"32","2025-08-23 9:24:28.293 PM","1.614"
"33","2025-08-23 9:24:28.294 PM","1.614"
"34","2025-08-23 9:24:28.295 PM","1.575"
"35","2025-08-23 9:24:28.296 PM","1.580"
"36","2025-08-23 9:24:28.297 PM","1.575"
"37","2025-08-23 9:24:28.298 PM","1.580"
"38","2025-08-23 9:24:28.299 PM","1.575"
"39","2025-08-23 9:24:28.300 PM","1.580"
"40","2025-08-23 9:24:28.301 PM","1.580"
"41","2025-08-23 9:24:28.302 PM","1.580"
"42","2025-08-23 9:24:28.303 PM","1.575"
"43","2025-08-23 9:24:28.304 PM","1.575"
"44","2025-08-23 9:24:28.305 PM","1.575"
"45","2025-08-23 9:24:28.306 PM","1.575"
"46","2025-08-23 9:24:28.307 PM","1.570"
"47","2025-08-23 9:24:28.308 PM","1.575"
"48","2025-08-23 9:24:28.309 PM","1.575"
"49","2025-08-23 9:24:28.310 PM","1.580"
"50","2025-08-23 9:24:28.311 PM","1.580"
"51","2025-08-23 9:24:28.312 PM","1.639"
"52","2025-08-23 9:24:28.313 PM","1.634"
"53","2025-08-23 9:24:28.314 PM","1.639"
"54","2025-08-23 9:24:28.315 PM","1.639"
"55","2025-08-23 9:24:28.316 PM","1.639"
"56","2025-08-23 9:24:28.317 PM","1.634"
"57","2025-08-23 9:24:28.318 PM","1.634"
"58","2025-08-23 9:24:28.319 PM","1.634"
"59","2025-08-23 9:24:28.320 PM","1.634"
"60","2025-08-23 9:24:28.321 PM","1.629"
"61","2025-08-23 9:24:28.322 PM","1.634"
"62","2025-08-23 9:24:28.323 PM","1.629"
"63","2025-08-23 9:24:28.324 PM","1.629"
"64","2025-08-23 9:24:28.325 PM","1.629"
"65","2025-08-23 9:24:28.326 PM","1.639"
"66","2025-08-23 9:24:28.327 PM","1.639"
"67","2025-08-23 9:24:28.328 PM","1.639"
"68","2025-08-23 9:24:28.329 PM","1.609"
"69","2025-08-23 9:24:28.330 PM","1.614"
"70","2025-08-23 9:24:28.331 PM","1.614"
"71","2025-08-23 9:24:28.332 PM","1.614"
"72","2025-08-23 9:24:28.333 PM","1.614"
"73","2025-08-23 9:24:28.334 PM","1.614"
"74","2025-08-23 9:24:28.335 PM","1.614"
"75","2025-08-23 9:24:28.336 PM","1.609"
"76","2025-08-23 9:24:28.337 PM","1.614"
"77","2025-08-23 9:24:28.338 PM","1.614"
"78","2025-08-23 9:24:28.339 PM","1.609"
"79","2025-08-23 9:24:28.340 PM","1.609"
"80","2025-08-23 9:24:28.341 PM","1.609"
"81","2025-08-23 9:24:28.342 PM","1.609"
"82","2025-08-23 9:24:28.343 PM","1.614"
"83","2025-08-23 9:24:28.344 PM","1.609"
"84","2025-08-23 9:24:28.345 PM","1.575"
"85","2025-08-23 9:24:28.346 PM","1.575"
"86","2025-08-23 9:24:28.347 PM","1.575"
"87","2025-08-23 9:24:28.348 PM","1.575"
"88","2025-08-23 9:24:28.349 PM","1.580"
"89","2025-08-23 9:24:28.350 PM","1.580"
"90","2025-08-23 9:24:28.351 PM","1.575"
"91","2025-08-23 9:24:28.352 PM","1.575"
"92","2025-08-23 9:24:28.353 PM","1.570"
"93","2025-08-23 9:24:28.354 PM","1.570"
"94","2025-08-23 9:24:28.355 PM","1.570"
"95","2025-08-23 9:24:28.356 PM","1.570"
"96","2025-08-23 9:24:28.357 PM","1.570"
"97","2025-08-23 9:24:28.358 PM","1.575"
"98","2025-08-23 9:24:28.359 PM","1.575"
"99","2025-08-23 9:24:28.360 PM","1.575"
"100","2025-08-23 9:24:28.361 PM","1.580"
"101","2025-08-23 9:24:28.362 PM","1.639"
"102","2025-08-23 9:24:28.363 PM","1.639"
"103","2025-08-23 9:24:28.364 PM","1.634"
"104","2025-08-23 9:24:28.365 PM","1.639"
"105","2025-08-23 9:24:28.366 PM","1.639"
"106","2025-08-23 9:24:28.367 PM","1.639"
"107","2025-08-23 9:24:28.368 PM","1.634"
"108","2025-08-23 9:24:28.369 PM","1.639"
"109","2025-08-23 9:24:28.370 PM","1.634"
"110","2025-08-23 9:24:28.371 PM","1.634"
"111","2025-08-23 9:24:28.372 PM","1.634"
"112","2025-08-23 9:24:28.373 PM","1.634"
"113","2025-08-23 9:24:28.374 PM","1.634"
"114","2025-08-23 9:24:28.375 PM","1.634"
"115","2025-08-23 9:24:28.376 PM","1.634"
"116","2025-08-23 9:24:28.377 PM","1.639"
"117","2025-08-23 9:24:28.378 PM","1.614"
"118","2025-08-23 9:24:28.379 PM","1.609"
"119","2025-08-23 9:24:28.380 PM","1.614"
"120","2025-08-23 9:24:28.381 PM","1.614"
"121","2025-08-23 9:24:28.382 PM","1.614"
"122","2025-08-23 9:24:28.383 PM","1.614"
"123","2025-08-23 9:24:28.384 PM","1.609"
"124","2025-08-23 9:24:28.385 PM","1.609"
"125","2025-08-23 9:24:28.386 PM","1.609"
"126","2025-08-23 9:24:28.387 PM","1.604"
"127","2025-08-23 9:24:28.388 PM","1.604"
"128","2025-08-23 9:24:28.389 PM","1.604"
"129","2025-08-23 9:24:28.390 PM","1.604"
"130","2025-08-23 9:24:28.391 PM","1.614"
"131","2025-08-23 9:24:28.392 PM","1.614"
"132","2025-08-23 9:24:28.393 PM","1.614"
"133","2025-08-23 9:24:28.394 PM","1.614"
"134","2025-08-23 9:24:28.395 PM","1.580"
"135","2025-08-23 9:24:28.396 PM","1.575"
"136","2025-08-23 9:24:28.397 PM","1.575"
"137","2025-08-23 9:24:28.398 PM","1.575"
"138","2025-08-23 9:24:28.399 PM","1.580"
"139","2025-08-23 9:24:28.400 PM","1.580"
"140","2025-08-23 9:24:28.401 PM","1.575"
"141","2025-08-23 9:24:28.402 PM","1.575"
"142","2025-08-23 9:24:28.403 PM","1.575"
"143","2025-08-23 9:24:28.404 PM","1.575"
"144","2025-08-23 9:24:28.405 PM","1.575"
"145","2025-08-23 9:24:28.406 PM","1.575"
"146","2025-08-23 9:24:28.407 PM","1.575"
"147","2025-08-23 9:24:28.408 PM","1.575"
"148","2025-08-23 9:24:28.409 PM","1.575"
"149","2025-08-23 9:24:28.410 PM","1.575"
"150","2025-08-23 9:24:28.411 PM","1.653"
"151","2025-08-23 9:24:28.412 PM","1.653"
"152","2025-08-23 9:24:28.413 PM","1.653"
"153","2025-08-23 9:24:28.414 PM","1.658"
"154","2025-08-23 9:24:28.415 PM","1.653"
"155","2025-08-23 9:24:28.416 PM","1.653"
"156","2025-08-23 9:24:28.417 PM","1.653"
"157","2025-08-23 9:24:28.418 PM","1.648"
"158","2025-08-23 9:24:28.419 PM","1.648"
"159","2025-08-23 9:24:28.420 PM","1.648"
