"Device: USB-205"
"Serial Number: 22B4008"
"Channel Count: 1"
"Sample Count: 11214"
"Start Time: 2025-08-23 8:38:15.164 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)"
"0","2025-08-23 8:38:15.164 PM","1.560"
"1","2025-08-23 8:38:15.165 PM","1.560"
"2","2025-08-23 8:38:15.166 PM","1.560"
"3","2025-08-23 8:38:15.167 PM","1.560"
"4","2025-08-23 8:38:15.168 PM","1.556"
"5","2025-08-23 8:38:15.169 PM","1.560"
"6","2025-08-23 8:38:15.170 PM","1.556"
"7","2025-08-23 8:38:15.171 PM","1.560"
"8","2025-08-23 8:38:15.172 PM","1.556"
"9","2025-08-23 8:38:15.173 PM","1.556"
"10","2025-08-23 8:38:15.174 PM","1.556"
"11","2025-08-23 8:38:15.175 PM","1.560"
"12","2025-08-23 8:38:15.176 PM","1.560"
"13","2025-08-23 8:38:15.177 PM","1.614"
"14","2025-08-23 8:38:15.178 PM","1.614"
"15","2025-08-23 8:38:15.179 PM","1.614"
"16","2025-08-23 8:38:15.180 PM","1.614"
"17","2025-08-23 8:38:15.181 PM","1.614"
"18","2025-08-23 8:38:15.182 PM","1.614"
"19","2025-08-23 8:38:15.183 PM","1.614"
"20","2025-08-23 8:38:15.184 PM","1.609"
"21","2025-08-23 8:38:15.185 PM","1.609"
"22","2025-08-23 8:38:15.186 PM","1.609"
"23","2025-08-23 8:38:15.187 PM","1.609"
"24","2025-08-23 8:38:15.188 PM","1.609"
"25","2025-08-23 8:38:15.189 PM","1.609"
"26","2025-08-23 8:38:15.190 PM","1.609"
"27","2025-08-23 8:38:15.191 PM","1.609"
"28","2025-08-23 8:38:15.192 PM","1.614"
"29","2025-08-23 8:38:15.193 PM","1.580"
"30","2025-08-23 8:38:15.194 PM","1.575"
"31","2025-08-23 8:38:15.195 PM","1.575"
"32","2025-08-23 8:38:15.196 PM","1.580"
"33","2025-08-23 8:38:15.197 PM","1.575"
"34","2025-08-23 8:38:15.198 PM","1.575"
"35","2025-08-23 8:38:15.199 PM","1.575"
"36","2025-08-23 8:38:15.200 PM","1.575"
"37","2025-08-23 8:38:15.201 PM","1.575"
"38","2025-08-23 8:38:15.202 PM","1.575"
"39","2025-08-23 8:38:15.203 PM","1.575"
"40","2025-08-23 8:38:15.204 PM","1.575"
"41","2025-08-23 8:38:15.205 PM","1.575"
"42","2025-08-23 8:38:15.206 PM","1.575"
"43","2025-08-23 8:38:15.207 PM","1.575"
"44","2025-08-23 8:38:15.208 PM","1.575"
"45","2025-08-23 8:38:15.209 PM","1.575"
"46","2025-08-23 8:38:15.210 PM","1.560"
"47","2025-08-23 8:38:15.211 PM","1.560"
"48","2025-08-23 8:38:15.212 PM","1.560"
"49","2025-08-23 8:38:15.213 PM","1.556"
"50","2025-08-23 8:38:15.214 PM","1.556"
"51","2025-08-23 8:38:15.215 PM","1.560"
"52","2025-08-23 8:38:15.216 PM","1.560"
"53","2025-08-23 8:38:15.217 PM","1.556"
"54","2025-08-23 8:38:15.218 PM","1.556"
"55","2025-08-23 8:38:15.219 PM","1.556"
"56","2025-08-23 8:38:15.220 PM","1.556"
"57","2025-08-23 8:38:15.221 PM","1.551"
"58","2025-08-23 8:38:15.222 PM","1.551"
"59","2025-08-23 8:38:15.223 PM","1.551"
"60","2025-08-23 8:38:15.224 PM","1.556"
"61","2025-08-23 8:38:15.225 PM","1.556"
"62","2025-08-23 8:38:15.226 PM","1.614"
"63","2025-08-23 8:38:15.227 PM","1.609"
"64","2025-08-23 8:38:15.228 PM","1.614"
"65","2025-08-23 8:38:15.229 PM","1.614"
"66","2025-08-23 8:38:15.230 PM","1.614"
"67","2025-08-23 8:38:15.231 PM","1.614"
"68","2025-08-23 8:38:15.232 PM","1.614"
"69","2025-08-23 8:38:15.233 PM","1.614"
"70","2025-08-23 8:38:15.234 PM","1.614"
"71","2025-08-23 8:38:15.235 PM","1.614"
"72","2025-08-23 8:38:15.236 PM","1.609"
"73","2025-08-23 8:38:15.237 PM","1.609"
"74","2025-08-23 8:38:15.238 PM","1.614"
"75","2025-08-23 8:38:15.239 PM","1.609"
"76","2025-08-23 8:38:15.240 PM","1.609"
"77","2025-08-23 8:38:15.241 PM","1.609"
"78","2025-08-23 8:38:15.242 PM","1.614"
"79","2025-08-23 8:38:15.243 PM","1.575"
"80","2025-08-23 8:38:15.244 PM","1.580"
"81","2025-08-23 8:38:15.245 PM","1.575"
"82","2025-08-23 8:38:15.246 PM","1.575"
"83","2025-08-23 8:38:15.247 PM","1.575"
"84","2025-08-23 8:38:15.248 PM","1.580"
"85","2025-08-23 8:38:15.249 PM","1.575"
"86","2025-08-23 8:38:15.250 PM","1.575"
"87","2025-08-23 8:38:15.251 PM","1.575"
"88","2025-08-23 8:38:15.252 PM","1.575"
"89","2025-08-23 8:38:15.253 PM","1.575"
"90","2025-08-23 8:38:15.254 PM","1.570"
"91","2025-08-23 8:38:15.255 PM","1.565"
"92","2025-08-23 8:38:15.256 PM","1.570"
"93","2025-08-23 8:38:15.257 PM","1.575"
"94","2025-08-23 8:38:15.258 PM","1.575"
"95","2025-08-23 8:38:15.259 PM","1.556"
"96","2025-08-23 8:38:15.260 PM","1.556"
"97","2025-08-23 8:38:15.261 PM","1.556"
"98","2025-08-23 8:38:15.262 PM","1.560"
"99","2025-08-23 8:38:15.263 PM","1.560"
"100","2025-08-23 8:38:15.264 PM","1.560"
"101","2025-08-23 8:38:15.265 PM","1.560"
"102","2025-08-23 8:38:15.266 PM","1.556"
"103","2025-08-23 8:38:15.267 PM","1.556"
"104","2025-08-23 8:38:15.268 PM","1.556"
"105","2025-08-23 8:38:15.269 PM","1.556"
"106","2025-08-23 8:38:15.270 PM","1.556"
"107","2025-08-23 8:38:15.271 PM","1.556"
"108","2025-08-23 8:38:15.272 PM","1.556"
"109","2025-08-23 8:38:15.273 PM","1.556"
"110","2025-08-23 8:38:15.274 PM","1.556"
"111","2025-08-23 8:38:15.275 PM","1.560"
"112","2025-08-23 8:38:15.276 PM","1.614"
"113","2025-08-23 8:38:15.277 PM","1.614"
"114","2025-08-23 8:38:15.278 PM","1.614"
