"Device: USB-205"
"Serial Number: 22B4008"
"Channel Count: 1"
"Sample Count: 10920"
"Start Time: 2025-08-23 8:06:39.598 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)"
"0","2025-08-23 8:06:39.598 PM","1.673"
"1","2025-08-23 8:06:39.599 PM","1.673"
"2","2025-08-23 8:06:39.600 PM","1.673"
"3","2025-08-23 8:06:39.601 PM","1.673"
"4","2025-08-23 8:06:39.602 PM","1.595"
"5","2025-08-23 8:06:39.603 PM","1.595"
"6","2025-08-23 8:06:39.604 PM","1.595"
"7","2025-08-23 8:06:39.605 PM","1.595"
"8","2025-08-23 8:06:39.606 PM","1.595"
"9","2025-08-23 8:06:39.607 PM","1.600"
"10","2025-08-23 8:06:39.608 PM","1.595"
"11","2025-08-23 8:06:39.609 PM","1.595"
"12","2025-08-23 8:06:39.610 PM","1.590"
"13","2025-08-23 8:06:39.611 PM","1.590"
"14","2025-08-23 8:06:39.612 PM","1.590"
"15","2025-08-23 8:06:39.613 PM","1.590"
"16","2025-08-23 8:06:39.614 PM","1.590"
"17","2025-08-23 8:06:39.615 PM","1.590"
"18","2025-08-23 8:06:39.616 PM","1.595"
"19","2025-08-23 8:06:39.617 PM","1.595"
"20","2025-08-23 8:06:39.618 PM","1.653"
"21","2025-08-23 8:06:39.619 PM","1.653"
"22","2025-08-23 8:06:39.620 PM","1.658"
"23","2025-08-23 8:06:39.621 PM","1.658"
"24","2025-08-23 8:06:39.622 PM","1.653"
"25","2025-08-23 8:06:39.623 PM","1.658"
"26","2025-08-23 8:06:39.624 PM","1.653"
"27","2025-08-23 8:06:39.625 PM","1.653"
"28","2025-08-23 8:06:39.626 PM","1.653"
"29","2025-08-23 8:06:39.627 PM","1.653"
"30","2025-08-23 8:06:39.628 PM","1.653"
"31","2025-08-23 8:06:39.629 PM","1.653"
"32","2025-08-23 8:06:39.630 PM","1.653"
"33","2025-08-23 8:06:39.631 PM","1.653"
"34","2025-08-23 8:06:39.632 PM","1.653"
"35","2025-08-23 8:06:39.633 PM","1.653"
"36","2025-08-23 8:06:39.634 PM","1.653"
"37","2025-08-23 8:06:39.635 PM","1.673"
"38","2025-08-23 8:06:39.636 PM","1.673"
"39","2025-08-23 8:06:39.637 PM","1.673"
"40","2025-08-23 8:06:39.638 PM","1.673"
"41","2025-08-23 8:06:39.639 PM","1.673"
"42","2025-08-23 8:06:39.640 PM","1.673"
"43","2025-08-23 8:06:39.641 PM","1.673"
"44","2025-08-23 8:06:39.642 PM","1.673"
"45","2025-08-23 8:06:39.643 PM","1.673"
"46","2025-08-23 8:06:39.644 PM","1.673"
"47","2025-08-23 8:06:39.645 PM","1.673"
"48","2025-08-23 8:06:39.646 PM","1.668"
"49","2025-08-23 8:06:39.647 PM","1.668"
"50","2025-08-23 8:06:39.648 PM","1.668"
"51","2025-08-23 8:06:39.649 PM","1.673"
"52","2025-08-23 8:06:39.650 PM","1.673"
"53","2025-08-23 8:06:39.651 PM","1.595"
"54","2025-08-23 8:06:39.652 PM","1.595"
"55","2025-08-23 8:06:39.653 PM","1.595"
"56","2025-08-23 8:06:39.654 PM","1.595"
"57","2025-08-23 8:06:39.655 PM","1.600"
"58","2025-08-23 8:06:39.656 PM","1.595"
"59","2025-08-23 8:06:39.657 PM","1.595"
"60","2025-08-23 8:06:39.658 PM","1.595"
"61","2025-08-23 8:06:39.659 PM","1.595"
"62","2025-08-23 8:06:39.660 PM","1.595"
"63","2025-08-23 8:06:39.661 PM","1.595"
"64","2025-08-23 8:06:39.662 PM","1.595"
"65","2025-08-23 8:06:39.663 PM","1.590"
"66","2025-08-23 8:06:39.664 PM","1.590"
"67","2025-08-23 8:06:39.665 PM","1.590"
"68","2025-08-23 8:06:39.666 PM","1.595"
"69","2025-08-23 8:06:39.667 PM","1.595"
"70","2025-08-23 8:06:39.668 PM","1.653"
"71","2025-08-23 8:06:39.669 PM","1.658"
"72","2025-08-23 8:06:39.670 PM","1.658"
"73","2025-08-23 8:06:39.671 PM","1.658"
"74","2025-08-23 8:06:39.672 PM","1.653"
"75","2025-08-23 8:06:39.673 PM","1.653"
"76","2025-08-23 8:06:39.674 PM","1.653"
"77","2025-08-23 8:06:39.675 PM","1.653"
"78","2025-08-23 8:06:39.676 PM","1.653"
"79","2025-08-23 8:06:39.677 PM","1.648"
"80","2025-08-23 8:06:39.678 PM","1.648"
"81","2025-08-23 8:06:39.679 PM","1.648"
"82","2025-08-23 8:06:39.680 PM","1.648"
"83","2025-08-23 8:06:39.681 PM","1.648"
"84","2025-08-23 8:06:39.682 PM","1.653"
"85","2025-08-23 8:06:39.683 PM","1.653"
"86","2025-08-23 8:06:39.684 PM","1.653"
"87","2025-08-23 8:06:39.685 PM","1.678"
"88","2025-08-23 8:06:39.686 PM","1.673"
"89","2025-08-23 8:06:39.687 PM","1.673"
"90","2025-08-23 8:06:39.688 PM","1.673"
"91","2025-08-23 8:06:39.689 PM","1.673"
"92","2025-08-23 8:06:39.690 PM","1.673"
"93","2025-08-23 8:06:39.691 PM","1.673"
"94","2025-08-23 8:06:39.692 PM","1.673"
"95","2025-08-23 8:06:39.693 PM","1.673"
"96","2025-08-23 8:06:39.694 PM","1.673"
"97","2025-08-23 8:06:39.695 PM","1.673"
"98","2025-08-23 8:06:39.696 PM","1.673"
"99","2025-08-23 8:06:39.697 PM","1.673"
"100","2025-08-23 8:06:39.698 PM","1.673"
"101","2025-08-23 8:06:39.699 PM","1.673"
"102","2025-08-23 8:06:39.700 PM","1.673"
"103","2025-08-23 8:06:39.701 PM","1.595"
"104","2025-08-23 8:06:39.702 PM","1.595"
"105","2025-08-23 8:06:39.703 PM","1.595"
"106","2025-08-23 8:06:39.704 PM","1.595"
"107","2025-08-23 8:06:39.705 PM","1.595"
"108","2025-08-23 8:06:39.706 PM","1.595"
"109","2025-08-23 8:06:39.707 PM","1.595"
"110","2025-08-23 8:06:39.708 PM","1.595"
"111","2025-08-23 8:06:39.709 PM","1.590"
"112","2025-08-23 8:06:39.710 PM","1.595"
"113","2025-08-23 8:06:39.711 PM","1.590"
"114","2025-08-23 8:06:39.712 PM","1.590"
"115","2025-08-23 8:06:39.713 PM","1.590"
"116","2025-08-23 8:06:39.714 PM","1.585"
"117","2025-08-23 8:06:39.715 PM","1.595"
"118","2025-08-23 8:06:39.716 PM","1.595"
"119","2025-08-23 8:06:39.717 PM","1.639"
"120","2025-08-23 8:06:39.718 PM","1.639"
"121","2025-08-23 8:06:39.719 PM","1.634"
"122","2025-08-23 8:06:39.720 PM","1.634"
